BROAD-CLYST-BEAUMONT,,,,,,,,,,,,,,,,,,,,
Grid ref,SX982983,Long,-3.44473,Lat,50.77577,Elevation,72,ft,,,,,,,,,,,,
Station no,1778/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,2.41,4.26,3.79,7.11,1.87,2.76,3.39,4.38,5.6,0.67,
February,,,,,,,,,,3.64,3.4,0.16,1.12,0.54,1.91,2.69,1.17,1.22,1.34,
March,,,,,,,,,,2.28,2.46,2.51,1.1,0.18,0.47,1.25,6.53,1,1.58,
April,,,,,,,,,,2.7,1.01,1.38,0.86,1.81,0.4,2.55,1.44,2.71,1.27,
May,,,,,,,,,,1.27,1.63,4.84,2.51,0.51,3.96,5.02,3.63,2.78,1.94,
June,,,,,,,,,,0.92,1.39,0.62,1.7,1.73,2.15,2.29,2.53,1.63,1.38,
July,,,,,,,,,,2.63,0.81,1.43,3.04,2.24,2.93,1.27,1.23,1.56,2.21,
August,,,,,,,,,,0.08,3.41,3.5,2.34,3.61,1.46,4.37,0.8,3.2,1.41,
September,,,,,,,,,,1.49,0.65,2.37,3.5,1.99,2.29,5.28,2,1,3,
October,,,,,,,,,,3.56,1.32,2.15,3.53,3.94,3.61,2.33,1.19,3.28,6.09,
November,,,,,,,,,,5.93,1.95,0.68,2.46,4.56,0.93,4.72,2.13,1.97,4.34,
December,,,,,,,,,,3.02,1.85,3.84,3.24,3.19,5.06,3.85,2.81,4.79,1.22,
Total,,,,,,,,,,29.93,24.14,27.27,32.51,26.17,27.93,39.01,29.84,30.74,26.45,
,,,,,,,,,,,,,,,,,,,,
1941 Print with query Possibly low,,,,,,,,,,,,,,,,,,,,
1950 Station terminated on death of observer,,,,,,,,,,,,,,,,,,,,
