TRENT-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ290973,Long,-0.136404,Lat,51.659688,Elevation,250,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,891/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,2.31,2.01,0.85,2.68,0.76,,,,,,3.07,1.45,4.38,0.93,1.72,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68,4.15,3.34,5.66,2.28,2.72,2.36,4.61,1.31,,,,,,
February,,,,,1.63,0.15,0.46,2.61,1.14,,,,,,3.19,1.17,2.52,1.2,1.62,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,4.27,0.45,0.82,1.73,2.28,0.85,1.37,1.03,,,,,,
March,,,,,1.58,0.91,3.27,3.95,0.85,,,,,,1.6,3.66,1.2,0.91,2.71,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,2.53,0.36,1.64,2.96,3.21,2,0.39,0.05,,,,,,
April,,,,,1.95,1.25,0.62,1.74,1.31,,,,,,1.09,2.11,0.58,2.9,2.77,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,2.99,0.13,3.18,1.38,1.49,1.37,1.03,,,,,,,
May,,,,,1.72,0.3,0.32,1.64,2.79,,,,,,2.07,1.72,1.42,2.29,1.59,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,2.76,1.83,1.48,1.3,1.9,2.76,1.55,,,,,,,
June,,,,,1.8,0.37,2.34,3.19,1.27,,,,,,0.82,3.06,3.03,2.55,1.07,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,1.88,0.4,1.58,0.85,1.82,0.18,1.78,,,,,,,
July,,,,2.31,2.62,3.91,1.04,1.25,0.51,,,,,,2.22,2.63,0.58,1.73,3.86,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,0.73,1.56,2.2,2.48,3.03,2.1,1.53,,,,,,,
August,,,,2.18,3.29,3,2.3,3.11,1.35,,,,,,2.17,2.95,0.56,1.85,2.99,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,0.49,1.29,1.46,3.57,0.24,5.83,2.05,1.48,,,,,,,
September,,,,1.01,0.72,0.93,7.43,3.15,0.31,,,,,,1.43,1.85,1.64,0.7,1.7,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,3.1,1.67,,1.59,0.85,0.57,,2.25,,,,,,,
October,,,,3.35,4.05,2.62,3.35,0.7,3.63,,,,,,1.6,1.44,3.72,3.31,1.72,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,1.94,2.4,3.2,5.99,2.93,0.86,4.29,2.43,,,,,,,
November,,,,3.15,3.32,3.51,1.16,1.07,1.76,,,,,,1.87,3.69,3.97,2.37,0.72,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,3.4,1.47,3.7,5.1,7.27,2.44,2.03,0.96,,,,,,,
December,,,,2.01,2.43,1.71,3.75,2.75,2.64,,,,,,1.89,1.03,2.49,3.76,2.03,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,1.82,3.47,3.79,1.22,1.05,1.68,2.54,1.49,,,,,,,
Total,,,,,27.42,20.67,26.89,27.84,18.32,,,,,,23.02,26.76,26.09,24.5,24.5,27.39,,,,,,,,,,,,,,,,,,,,,,,,,,,28.96,29.61,,34.03,25.32,27.83,,20.87,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is the training college in Trent Park, which is mentioned on the 1940s record. Altitudes match. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The earlier records have different observers and may be in different locations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The 1890s record has a similar altitude to the college.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The 1900s record has different altitudes but the relationship to the church is broadly consistent with the college location.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
