WIMBLEDON-TRINITY-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ254706,Long,-0.19731,Lat,51.42054,Elevation,53,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,2.6,0.54,3.92,1.01,1.13,2.85,2.93,2.07,1.66,2.51,1.38,2.95,1.57,2.09,1.87,3.27,0.86,2.6,1.28,1.74,,,,,,,,
February,,,,0.86,2.66,3.31,3.79,0.88,0.84,2.25,0.6,0.18,2.02,3.07,0.47,3.12,2.55,3.64,1.35,0.47,0.62,1.68,0.1,,,,,,,,
March,,,,2.76,3.85,0.79,4.15,1.79,0.86,3.34,1.22,1.13,1.69,2.19,0.44,0.7,0.18,2.84,1.49,0.03,1.86,0.27,1.43,,,,,,,,
April,,,,2.73,0.82,1.38,1.28,2.19,3.44,2.76,2.56,1.16,2.58,1.43,4.06,1.86,3.66,1.78,1.54,1.05,1.46,3.92,2.3,,,,,,,,
May,,,,1.37,1.13,3.07,2.09,2.32,1.84,0.07,0.58,1.23,1,2.27,2.87,1.56,1.26,1.24,2.59,1.35,2.81,2.72,4.16,,,,,,,,
June,,,,0.42,3.18,0.53,2.71,2.06,0.82,1.46,2.81,0.22,1.33,0.29,2.8,0.12,3.87,3.86,2.56,1.06,1.51,1.76,0.87,,,,,,,,
July,,,,2.01,1.5,3.36,1.6,4.98,6.45,2.33,3.67,0.09,3.48,2.83,3.39,3.52,1.67,2.62,2.19,1.44,1.93,2.78,2.66,,,,,,,,
August,,,5.29,1.77,1.07,2.96,4.01,4.32,1.09,2.03,1.74,1.04,2.06,1.73,2.58,2.49,0.99,4.22,2.33,1.98,3.05,5.72,1.21,,,,,,,,
September,,,2.4,1.76,0.89,1.84,1.6,1.96,4.55,1.29,3.28,1.8,1.91,1.21,3.24,2.12,1.81,4.28,0.9,0.14,3.29,2.6,2.27,,,,,,,,
October,,,2.19,3.57,1.16,2.53,3.48,3.16,1.09,0.73,0.84,0.83,1.1,5.49,3.5,2.53,2.34,1.1,4.14,2.65,1.06,0.81,5.54,,,,,,,,
November,,,1.78,1.96,2.98,2.52,4.35,1.31,2.12,1.24,1.32,1.97,1.28,1.59,2.61,1.6,4.89,2.67,1.71,5.61,4.05,2.15,1.15,,,,,,,,
December,,,2.73,1.02,6.5,5.27,2.41,1.34,2.18,3.49,1.72,1,3.29,2.15,2.88,2.35,0.26,3.85,2.13,4.5,1.52,0.58,0.43,,,,,,,,
Total,,,,22.83,26.28,31.48,32.48,27.44,28.13,23.92,22.41,12.31,24.25,25.63,31.79,23.54,25.57,33.97,26.2,21.14,25.76,26.27,23.86,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 Sept 5 Gauge moved from 10 to 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Gauge read 9am summer and winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
