"USHAW COLLEGE",,,,,,,,,,,,
Grid ref,NZ219436,Long,-1.660980,Lat,54.786825,,,,,,,
Station no,3541,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.38,2.12,0.62,2.77,1.97,3.98,1.94,1.86,2.42,4.50,,
February,2.57,0.51,1.85,2.18,2.88,2.33,2.61,4.24,0.60,2.42,,
March,4.11,1.75,0.06,1.50,1.76,0.67,1.48,2.55,0.61,2.43,,
April,1.25,1.64,2.22,0.47,0.60,0.99,0.24,1.67,2.01,0.86,,
May,3.77,1.41,2.01,4.16,1.50,0.60,2.10,3.72,0.47,2.34,,
June,1.09,1.40,2.57,1.99,2.57,3.72,1.41,2.88,1.29,0.39,,
July,1.53,0.62,2.67,1.76,1.04,2.46,3.39,2.90,1.65,3.72,,
August,5.51,2.56,5.14,6.28,1.19,6.76,3.84,3.01,0.35,2.65,,
September,1.80,4.43,1.39,2.29,0.62,2.43,3.84,1.86,0.70,1.95,,
October,1.24,3.60,1.97,4.45,1.48,1.57,1.66,1.25,0.90,8.60,,
November,5.99,3.33,0.88,3.99,2.05,0.58,1.70,0.49,3.91,2.81,,
December,2.51,2.48,0.82,2.05,3.20,2.09,1.63,3.64,3.46,1.91,,
Total,32.75,25.85,22.20,33.89,20.86,28.18,25.84,30.07,18.37,34.58,,
Calc annual,32.75,25.85,22.20,33.89,20.86,28.18,25.84,30.07,18.37,34.58,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
