REEPHAM-WHITWELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG097223,Long,1.106203,Lat,52.757591,Elevation,130,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.08,0.61,2.43,2.29,1.4,2.12,1.5,3.43,1.28,1.8,1.17,2.06,3.6,0.66,1.19,1.73,1.52,1.07,3.51,1.53,0.95,0.94,3.14,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.97,1.57,0.82,0.06,2.07,2.44,1.11,0.52,0.59,2.44,1.21,1.1,2.82,1.46,1.22,0.79,3.19,1.62,2.38,1.53,2.41,0.61,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.93,1.01,2.66,1.65,1.1,0.44,1.17,2.13,3.93,2.28,2.49,1.85,1.19,3.2,2.29,1.96,1.88,2.29,1.82,1.17,2.09,3.06,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.73,2.16,1.16,1.2,1.75,0.12,1.92,1.36,1.5,1.66,1.72,2.5,1.59,2.07,1.47,2.55,0.67,2.06,0.81,3.71,3,1.24,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,0.9,2.74,1.28,3.42,2.08,0.65,2.04,1.2,0.73,1.09,2.74,1.87,1.34,2.06,4.06,1.66,2,1.3,1.87,2.64,1.35,1.25,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,1.24,0.9,3.8,1.58,2.54,1.79,2.62,0.62,1.99,1.74,2.68,0.75,3.23,2.05,2.48,2.83,0.82,2.33,2.21,2.08,0.65,2.58,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,3.61,2.55,3.64,4.04,2.24,3.43,3.31,2.91,1.3,0.66,1.19,2.02,2.97,1.92,1.79,3.98,2.65,0.96,1.63,1.23,3.33,4.21,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,3.29,3.68,2.8,5.09,2.06,1.57,1.84,4.07,1.53,3.49,2,1.65,4.22,1.18,2.03,3.07,2.6,3.75,2.01,1.38,1.93,2.15,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.79,2.88,0.79,1.01,1.83,0.83,2.21,0.57,4.49,3.2,0.12,4.43,0.57,1.14,0.79,3.04,2.15,2.57,0.9,0.71,1.69,1.62,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,1.94,3.07,1.89,3.83,7.46,1.58,2.72,2.89,4.55,0.84,1.83,2.2,2.32,2.26,1.33,5.1,1.47,3.73,3.28,3.23,1.43,4.77,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,2.26,1.48,3.54,1.85,1.37,4.07,3.95,2.56,1.27,1.59,2.55,1.95,2.38,2.73,1.37,1.81,1.72,2.18,4.47,2.68,1.73,1.56,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
