DUNDEE WESTFIELD COTTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 39286 29690,Long,-2.986694,Lat,56.455438,Elevation,65,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,3.81,3.37,3.68,1.84,0.75,3.8,2.91,1.87,4.04,1.63,4.02,1.62,1.69,0.68,1.14,,,,,,,,
February,,,,,,,,0.78,1.27,1.38,2.18,3.02,6.21,0.97,0.63,1.53,3.34,1.49,1.63,2.36,2.81,4,,,,,,,,
March,,,,,,,,1.84,1.93,1.12,0.85,0.68,2.5,1.72,0.84,1.85,2.35,2.57,0.71,2.57,2.07,3.04,,,,,,,,
April,,,,,,,,2.12,3.45,1.37,0.32,5.2,1.67,0.2,0.63,0.81,4.19,2.77,1.82,2.67,2.41,0.66,,,,,,,,
May,,,,,,,,3.72,1.77,1,1.06,0.78,2.96,3.6,2.32,1.02,0.3,1.7,2.66,2.16,0.51,0.69,,,,,,,,
June,,,,,,,,1.33,0.46,2.55,1.38,1.67,4.14,1.37,0.82,3.43,3.1,3.58,2.68,4.04,1.48,2.56,,,,,,,,
July,,,,,,,,6.96,0.5,0.85,1.25,3.33,2.07,4.32,2.46,2.28,1.76,5.16,1,4.18,2.02,2.63,,,,,,,,
August,,,,,,,,1.94,5.25,0.97,1.7,1.69,2.68,3.42,5.25,1.78,1.57,7.06,3.4,4.19,0.55,3.98,,,,,,,,
September,,,,,,,,1.65,5.28,5.28,2.57,1.29,4.5,3.77,1.9,2.84,3.63,2.02,2.66,2.09,2.56,4.34,,,,,,,,
October,,,,,,,,2.35,1.49,2.64,3.29,3.51,3.49,2.37,2.32,5.95,4.43,3,2.38,0.63,1.28,4.53,,,,,,,,
November,,,,,,,,0.31,1.62,0.56,1.73,2.61,4.79,1.73,2.47,4.66,6.01,2.9,1.63,1.58,2.65,3.15,,,,,,,,
December,,,,,,,,0.8,4.84,2.21,4.45,1.25,4.91,1.66,2.07,1.5,10.81,2.26,1.56,0.93,2.03,1.5,,,,,,,,
Total,,,,,,,,27.61,31.23,23.61,22.62,25.78,43.72,28.04,23.58,31.69,43.12,38.53,23.75,29.09,21.05,32.22,,,,,,,,
