CARSPHAIRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX561931,Long,-4.2623,Lat,55.2119,Elevation,574,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,4.26,13.21,5.58,9.31,10.07,6.02,4.67,13.14,11.6,6.92,15.13,4.09,12.09,7.33,1.99,2.71,1.09,5.96,12.03,,,,,,
February,,,,,,2.03,5.61,5,6.93,6.95,7.3,5.71,8.73,1.98,3.46,2.08,6.94,5.86,4.1,3.45,7.67,5.3,8.62,8.4,,,,,,
March,,,,,,3,4.87,4.2,9.38,0.78,2.2,5.18,5.4,3.8,3.86,3.14,6.06,3.97,2.3,5.14,3.33,7.75,5.89,3.59,,,,,,
April,,,,,,0.48,3.95,7.29,4.01,2.38,2.71,5.16,1.39,0.53,4.5,1.52,2.61,3.46,3.34,2.48,5.83,1.57,4.14,3.64,,,,,,
May,,,,,,5.94,2.34,2.79,4.15,1.52,4.15,1.29,3.62,2.42,1.11,3.42,0.96,4.57,4.77,2.18,2.62,3.8,2.28,3.47,,,,,,
June,,,,,,0.85,3.07,1.6,1.07,1.45,1.84,5.19,7.11,2.17,1.68,3.8,5.84,4.5,2.32,6.29,2.78,6.54,4.31,2.32,,,,,,
July,,,,,,3.58,2.69,4.47,0.49,2.15,1.31,4.58,3.94,6.89,3.2,2.5,2.8,3.98,0.45,5.88,4.25,4.53,8.61,4.7,,,,,,
August,,,,,,6.1,5.24,3.85,7.58,1.5,1.75,4.39,5.85,5.87,6.38,3.7,4.07,6.47,4.8,7.41,0.55,4.44,5.08,,,,,,,
September,,,,,,1.05,7.64,6.32,3.62,9.18,5.31,2.24,8.9,5.58,5.95,7.7,3.75,3,6.36,7.25,4.61,2.47,5.58,,,,,,,
October,,,,,,5.53,3,7.7,7.93,3.04,12.19,5.5,5.33,7.79,12.63,5.41,9.86,8.12,9.22,2.41,2.32,5.71,6.84,,,,,,,
November,,,,,,6.35,9.46,1.78,7.93,8.72,3.35,4.83,9.47,4.44,9.21,8.61,4.15,11.62,1.95,1.36,7.04,12.12,10.01,,,,,,,
December,,,,,,8.47,7.61,5.36,14.1,10.27,3.2,8.67,13.8,3.95,2.9,6.27,9.44,8.78,2.94,4.4,4.69,7.62,4.97,,,,,,,
Total,,,,,,47.64,68.69,55.94,76.5,58.01,51.33,57.41,86.68,57.02,61.8,63.28,60.57,76.42,49.88,50.24,48.4,62.94,72.29,,,,,,,
