BREDON HILL RESERVOIR,,,,,,,,,,
Grid ref,SO955405,Long,-2.067052,Lat,52.062857,Elevation,708,ft,,
Station no,2423/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.91,4.62
February,,,,,,,,,1.21,1.78
March,,,,,,,,,1.91,2.2
April,,,,,,,,,2.4,1.13
May,,,,,,,,,1.1,0.37
June,,,,,,,,,0.59,1.58
July,,,,,,,,,0.43,3.06
August,,,,,,,,,0.77,1.79
September,,,,,,,,,0.33,4.68
October,,,,,,,,,3.19,9.72
November,,,,,,,,,4.59,8.07
December,,,,,,,,2.7,4.38,3.76
Total,,,,,,,,,24.81,42.76
,,,,,,,,,,
10280,BREDON HILL RESR ,01/01/1959,31/12/1983,,,,,,,
