ASH (NASH FARM),,,,,,,,,,,,
Grid ref,TR268590,Long,1.251029,Lat,51.284958,,,,,,,
Station no,297/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,1.24,2.67,,
February,,,,,,,,,0.02,1.84,,
March,,,,,,,,,1.21,1.43,,
April,,,,,,,,,2.23,8.67,,
May,,,,,,,,,0.79,3.34,,
June,,,,,,,,,2.25,1.67,,
July,,,,,,,,,2.71,1.93,,
August,,,,,,,,,1.12,3.31,,
September,,,,,,,,,0.16,3.14,,
October,,,,,,,,,2.69,7.34,,
November,,,,,,,,,5.44,3.53,,
December,,,,,,,,,5.42,3.52,,
Total,,,,,,,,,25.78,34.39,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.28,42.39,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.50,-8.00,,
