WELLS-BISHOPS-PALACE,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST552457,Long,-2.6427,Lat,51.20874,Elevation,150,ft,,,,,,,,,,,,,
Station no,2015/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,3.77,2.45,3.07,2.76,2.57,0.85,3.67,,,,
February,,,,,,,,,,,0.62,3.51,0.07,3.68,0.32,3.27,2.48,,,,
March,,,,,,,,,,,2.06,0.81,1.97,2.28,2.66,1.03,3.57,,,,
April,,,,,,,,,,,2.63,2.66,3.19,1.69,2.44,4.98,1.09,,,,
May,,,,,,,,,,,1.89,4.02,5.6,1.58,1.21,1.17,0.95,,,,
June,,,,,,,,,,,0.88,2.91,1.21,1.19,1.85,3.44,1.83,,,,
July,,,,,,,,,,,3.08,4.39,4.45,2.28,1.81,0.36,7.14,,,,
August,,,,,,,,,,,3.05,4.57,1.16,1.49,3.99,1.9,0.85,,,,
September,,,,,,,,,,,3.67,2.68,4.6,1.72,2.83,5.07,2.92,,,,
October,,,,,,,,,,,3.46,0.76,6.09,2.92,3.21,4.76,3.12,,,,
November,,,,,,,,,,,5.42,3.37,2.83,0.76,1.21,7.21,3.72,,,,
December,,,,,,,,,,,3.73,1.03,1.62,0.93,7.05,3.95,2.54,,,,
Total,,,,,,,,,,,34.26,33.16,35.86,23.28,31.15,37.99,33.88,,,,
,,,,,,,,,,,,,,,,,,,,,
Exact location within Palace grounds unknown but site fairly level,,,,,,,,,,,,,,,,,,,,,
1930 Estimated as 2in low at least for district General letter re gauge and exposure sent,,,,,,,,,,,,,,,,,,,,,
1937 Station terminated Observer moved to Bathford Titan Barrow Stn No 1986/7,,,,,,,,,,,,,,,,,,,,,
