BOURNEMOUTH-HOWARD-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ100934,Long,-1.85965,Lat,50.74041,Elevation,117,ft,,,,,,,,,,,,,
Station no,617,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.85,1.37,3.32,5.44,5.05,2.25,4.87,1.4,4.5,2.37,2.85,,,,,,,,
February,,,2.72,6.33,0.46,4.21,1.95,3.23,2.83,1.25,0.64,2.45,0.09,,,,,,,,
March,,,3.09,1.37,1.54,0.81,0.62,3.43,2.4,0.21,0.93,1.35,1.78,,,,,,,,
April,,,3.76,4.38,3.35,2.53,4.18,2.04,1.6,1.22,2.3,2.67,2.79,,,,,,,,
May,,,0.53,1.8,4.23,3.6,2.03,0.98,1.11,2.08,2.07,3.17,3.33,,,,,,,,
June,,,1.25,0.44,1.9,0,2.79,2.5,2.25,1.6,0.42,3.33,2.43,,,,,,,,
July,,,3.81,0.72,4.07,3.66,1.2,2.27,1.47,1.81,1.58,4.15,,,,,,,,,
August,,,3.54,2.26,2.84,2.47,0.84,3.7,2.46,1.38,3.29,3.68,,,,,,,,,
September,,,2.11,2.02,4.01,3.6,0.52,5.72,1.96,0.38,3.17,1.67,,,,,,,,,
October,,,1.59,5.58,5.22,3.14,4.06,2.4,6.79,4.11,2.48,0.73,,,,,,,,,
November,,,2.37,1.75,3.58,3.3,9.38,3.23,3.29,8.76,6.05,5.45,,,,,,,,,
December,,,4.76,3.49,5.86,4.04,0.58,4.19,3,6.94,4.32,1.28,,,,,,,,,
Total,,,34.38,31.51,40.38,36.8,33.2,35.94,34.03,31.14,31.75,32.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Fairdale 29 Howard Rd,,,,,,,,,,,,,,,,,,,,,
1926 Jan 1926 New gauge installed Old one moved,,,,,,,,,,,,,,,,,,,,,
1926 Apr 23 Inspection Gauge rather sheltered,,,,,,,,,,,,,,,,,,,,,
1931 Total has a question mark BR says it means it might be inaccurate,,,,,,,,,,,,,,,,,,,,,
