GODSTONE-OUBOROUGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ363521,Long,-0.048333,Lat,51.251787,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,68/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.71,2.36,2.32,1.63,5.33,5.9,3.75,5.54,2.54,2.62,3.8,6.99,2.58,2.55,3.39,2.66,4.45,1.51,1.47,4.42,,,,,,,,,
February,,0.61,2.45,0.46,3.83,2.5,4.91,1.12,1.85,2.73,3.26,1.04,2.29,1.16,2.36,3.11,1.81,2.26,1.53,5.77,7.29,,,,,,,,,
March,,1.91,3.89,2.47,0.58,1.46,3.82,0.48,2.16,3.49,3.33,2.48,0.47,0.18,1.52,1.58,6.82,1,1.41,1.81,4.43,,,,,,,,,
April,,2.9,0.89,2.39,3.61,2.35,3.81,0.42,3.1,2.03,1.98,1.75,1.42,2.03,1.56,3.38,2,1.93,2.03,4.64,3.57,,,,,,,,,
May,,4.7,2.37,0.73,1.92,0.52,2.31,2.74,1.68,1.79,2.19,3.62,2.91,0.5,2.43,3.15,2.04,1.86,1.94,1.5,2.34,,,,,,,,,
June,,1.87,2.15,1.49,3.88,3.07,2.02,0.73,1,0.5,2.27,0.13,1.58,1.91,2.21,3,2.88,3.81,1.17,2.11,1.53,,,,,,,,,
July,,2.46,2.56,1.99,1.15,4.64,0.99,2.2,2.3,2.86,2.95,2.75,2.23,2.55,3.79,2.62,1.94,1.93,0.71,3.29,2.47,,,,,,,,,
August,,1.16,0.54,2.05,3.91,0.52,1.3,1.98,3.28,0.16,5.02,2.82,1.36,3.49,2.2,5.52,0.28,5.73,1.58,2.66,4.85,,,,,,,,,
September,,2.35,2.92,2.19,4.51,2.28,2.19,2.98,1.57,1.79,0.86,2.33,2.01,2.99,2.51,4.64,1.43,2.17,0.9,3.61,2.96,,,,,,,,,
October,,6.88,2.36,2.46,4.6,2.41,3.21,3.89,8.17,3.92,1.62,4.05,3.77,5.14,4.02,1.34,0.51,2.16,8.88,0.36,1.57,,,,,,,,,
November,,1.58,1.17,3.84,5.78,4.78,1.97,4.24,6.59,8.71,3.87,2.06,2.59,5.36,0.67,5.56,1.55,2.47,3.55,6.93,5.78,,,,,,,,,
December,,0.82,0.63,7.75,4.55,3.42,4.96,4.11,2.01,2.23,3.18,3.5,2.24,2.53,4.03,3.29,3.16,4.91,2.16,2.75,3.49,,,,,,,,,
Total,,29.95,24.29,30.14,39.95,33.28,37.39,28.64,39.25,32.75,33.15,30.33,29.86,30.42,29.85,40.58,27.08,34.68,27.37,36.9,44.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Terminated Observer died,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
