"ALLOWAY (DOONSIDE)",,,,,,,,,,,,
Grid ref,NS332177,Long,-4.637249,Lat,55.424727,,,,,,,
Station no,5262/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.16,6.15,2.79,4.53,3.38,3.26,4.22,3.50,1.35,,,
February,3.48,1.87,1.37,3.70,2.14,1.15,2.92,3.06,1.73,,,
March,3.26,1.65,0.83,2.68,1.67,2.08,3.67,0.82,2.05,,,
April,2.81,1.78,1.63,1.44,2.84,1.29,2.16,1.39,1.67,,,
May,1.90,1.76,2.27,1.87,3.75,2.79,2.08,3.46,1.24,,,
June,1.81,3.09,0.92,4.61,3.27,2.63,1.96,3.62,3.55,,,
July,3.01,3.02,5.74,4.90,2.03,3.65,3.74,5.35,4.67,,,
August,4.52,6.02,3.52,4.17,2.03,5.50,4.16,5.55,0.82,,,
September,2.58,3.18,5.19,6.31,4.37,3.39,4.25,3.40,1.81,,,
October,1.34,4.05,3.16,9.46,2.67,3.15,4.45,3.20,5.07,,,
November,5.65,2.42,7.30,6.46,2.23,1.44,2.37,1.83,4.26,,,
December,7.06,4.51,4.76,6.09,5.78,4.29,3.66,3.27,5.37,,,
Total,41.58,39.50,39.48,56.22,36.16,34.62,39.64,38.45,33.59,,,
Calc annual,41.58,39.50,39.48,56.22,36.16,34.62,39.64,38.45,33.59,0.00,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,,
