AYR DOONSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS332177,Long,-4.637249,Lat,55.424727,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5262/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,1.35,2.4,1.49,3.16,6.23,5.42,2.62,4.89,7.55,3.85,2.83,5,2.3,4.97,4.75,3.56,4.18,2.84,3.27,3.91,,,,,,,,,,,,,,,,,3.79,5.9,4.53,4.78,1.89,4.08,5.31,6.56,3.2,2.88,0.63,5.83,5.71,5.64,3.76,5.45,2.86,6.91,5.59,4.49,4.16,6.15,2.79,4.53,3.38,3.26,4.22,3.5,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.26,1.72,2.37,4.58,1.36,2.55,1.39,1.19,5.69,2.69,3.42,3.2,2.72,3.15,2.71,5.58,6.73,2.64,2.33,4.91,,,,,,,,,,,,,,,,,4.99,0.03,3.11,0.69,5.64,1.73,5.41,1.71,5.41,1.66,1.77,1.51,5.25,2.14,5.56,2.83,0.25,3.29,4.45,4.27,3.48,1.87,1.37,3.7,2.14,1.15,2.92,3.06,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,3.3,5.42,5.27,2.2,3.32,0.25,1.87,3.59,7.81,2.24,3.96,3.61,4.3,4.46,2.5,1.69,1.57,5.31,3.74,4.25,,,,,,,,,,,,,,,,,0.8,2.54,3.62,3.12,2.03,1.93,1.01,3.17,3.79,5.34,2.64,2.23,2.41,0.74,3.12,2.2,2.84,4.58,2.22,3.35,3.26,1.65,0.83,2.68,1.67,2.08,3.67,0.82,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,2.43,2.62,2.41,2.7,3.6,2.37,3.5,1.31,1.71,4.29,2.71,1.65,2.87,1.29,2.95,3.51,4.36,1.57,2.7,3.62,,,,,,,,,,,,,,,,,1.21,3.38,2.28,2.6,3.11,0.7,1.96,0.51,2.59,2.38,1.69,1.54,4.02,3.42,1.67,1.35,4.7,2.4,5.07,4.65,2.81,1.78,1.63,1.44,2.84,1.29,2.16,1.39,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,0.35,1.22,1.98,2.42,4.39,2.97,1.44,2.62,4.24,3.19,1.45,3.9,3.59,2.58,1.45,3.34,2.71,1.44,3.36,2.06,,,,,,,,,,,,,,,,,2.44,3.25,2.25,3.43,0.67,2.56,1.3,2.97,0.76,1.59,3.01,2.4,3.5,2.99,3.9,0.88,4.62,0.86,2.23,2,1.9,1.76,2.27,1.87,3.75,2.79,2.08,3.46,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.45,3.12,6.79,2.99,1.34,1.69,3.56,1.49,2.37,1.1,1.62,1.17,4.97,2.39,3.11,2.23,2.91,4.23,2.92,0.86,,,,,,,,,,,,,,,,,6.66,1.67,2.51,2.68,3.29,2,2.97,4.97,2.04,1.42,1.24,2,4.68,4.41,3.88,2.64,3.47,5.33,1.1,2.66,1.81,3.09,0.92,4.61,3.27,2.63,1.96,3.62,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,4.86,5.47,2.05,1.2,3.22,3.49,1.04,2.68,3.09,2.82,3.17,3.05,2.3,3.09,5.96,3.82,2.61,2.1,0.91,2.05,,,,,,,,,,,,,,,,,5.85,4.22,2.69,2.34,1.66,8.7,5.03,5.28,4.66,4.84,3.65,2.42,2.93,2.46,2.65,4.08,3.46,3.88,1.73,5.65,3.01,3.02,5.74,4.9,2.03,3.65,3.74,5.35,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,5.75,2.79,4.83,5.13,2.1,4.78,4.9,2.82,6.69,5.68,4.46,4.98,4.13,3.49,2.94,4.87,1.91,3.07,1.31,3.88,,,,,,,,,,,,,,,,,1.46,2.05,3.74,4.5,2.24,3.74,3.45,2.42,2.67,2.48,5.72,4.61,5.57,2.92,2.26,2.19,0.4,5.65,4.73,3.92,4.52,6.02,3.52,4.17,2.03,5.5,4.16,5.55,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,1.18,4.61,4.95,4.21,4.67,4.28,3.89,4.07,3.76,3.27,3.05,1.62,1.05,5.02,1.9,2.09,2.88,2.27,2.25,2.48,,,,,,,,,,,,,,,,,1.19,5.15,2.1,5.45,5.35,3.87,3.17,4.21,1.9,6.51,1.59,6.2,2.93,5.26,5.5,5.69,5.21,5.64,1.16,10.17,2.58,3.18,5.19,6.31,4.37,3.39,4.25,3.4,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,4.11,4.05,1.85,2.85,4.52,6.08,5.08,2.67,8.61,3.05,3.59,5.99,7.23,0.92,6.41,2.56,4.01,4.81,2.11,1.49,,,,,,,,,,,,,,,,,3.62,5.44,3.71,7.27,8.26,5.57,3.78,8.46,1.27,4.04,5.18,6.09,7.58,5.05,3.76,0.76,1.94,6.11,6.1,4.56,1.34,4.05,3.16,9.46,2.67,3.15,4.45,3.2,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
