"GREAT BARDFIELD (SOUTH LODGE)",,,,,,,,,,,,
Grid ref,TL674304,Long,0.434251,Lat,51.946908,,,,,,,
Station no,1308,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.73,1.98,0.89,1.07,2.27,3.43,1.24,1.90,2.18,2.02,,
February,3.89,0.57,1.26,1.87,1.59,0.72,2.15,3.09,0.14,1.33,,
March,2.71,2.89,0.22,2.24,1.19,0.69,1.17,0.81,2.15,1.34,,
April,2.78,1.23,2.28,0.22,0.25,1.12,0.17,1.11,2.27,0.49,,
May,2.50,0.63,1.66,2.29,3.29,0.61,0.56,2.33,0.54,1.05,,
June,1.20,0.94,2.67,2.31,1.92,1.96,1.74,5.45,0.40,1.31,,
July,0.85,0.67,2.95,2.34,0.66,2.98,2.88,3.54,1.69,2.60,,
August,3.06,3.54,1.64,3.19,0.99,4.02,2.63,4.08,0.60,3.61,,
September,3.16,2.87,2.00,1.71,1.99,2.13,2.54,3.15,0.03,4.58,,
October,0.86,2.42,2.98,2.05,3.58,1.99,2.13,2.12,2.03,5.43,,
November,3.46,3.74,1.03,3.39,0.63,0.66,2.01,1.75,2.03,2.95,,
December,1.78,2.23,0.71,1.81,1.56,1.91,2.16,2.66,4.18,2.84,,
Total,27.98,23.71,20.29,24.49,19.92,22.22,21.38,31.99,18.24,29.55,,
Calc annual,27.98,23.71,20.29,24.49,19.92,22.22,21.38,31.99,18.24,29.55,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
