TODHEAD POINT LIGHTHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO870769,Long,-2.214948,Lat,56.883296,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.46,2.91,1.3,,3.25,2.1,0.1,1.4,0.25,1.2,1.05,1.25,1.13,2.18,2.74,0.83,2.33,0.84,2.14,2.88,4.17,1.19,2.85,,,1.82,1.22,2.57,1.27,3.82,1.19,1.15,2.08,1.57,1.61,1.29,1.04,2.76,3.11,2.92,,1.24,1.09,3.55,2.69,1.39,6.21,0.98,4.72,2.61,0.95,1.68,1.81,1.97,0.7,,2.19,1.96,1.61,2.45,1.34,3.09
February,,,,,,,,,,0.95,1.05,1.5,,3.15,5.25,0.8,1.05,0.45,0.68,0.15,2.43,0.65,2.15,0.81,3.75,5.62,2.11,0.75,1.81,3.65,1.43,0.64,,,0.68,2.74,3.35,1.31,0.64,1.09,1,2.2,0.09,1.4,0.03,1.76,1.99,1.74,0.97,,1.06,1.97,0.5,0.41,0.74,5.41,1.14,1.57,1.35,0.51,1.12,2.03,0.95,0.83,,1.59,0.75,1.34,1.05,0.2,1.96
March,,,,,,,,,,,1.2,0.47,,1.55,1.85,2.8,0.65,0.2,3.2,4.1,0.95,1.9,2,2.86,3.6,1.64,3.03,1.98,1.71,3.2,3.4,1.54,,,0.69,1.15,0.65,1.83,3.28,0.49,1.85,0.74,2.45,1.51,1.63,1.59,1.71,1.59,0.57,,1.76,0.99,0.4,0.18,0.78,0.37,1.19,3.47,0.16,1.47,1.4,2,2.74,0.27,,1.42,0.39,1.32,2.55,1.04,0.87
April,,,,,,,,,,3.41,1.1,1.25,,1.35,1.15,1.55,1.15,0.9,0.9,2.85,2.2,0.73,0.1,2.37,0.43,0.63,3.1,0.87,1.05,2.07,1.08,1.03,,,1.62,2.04,2.47,2,1.83,1.77,2.03,1.31,1.93,1.23,4.86,3.27,0.4,1.31,0.25,,1.2,1.37,0.59,0.91,2.63,0.64,0.27,2.02,0.53,0.62,1.09,1.78,0.99,2.31,,1,0.98,0.45,0.74,2.25,0.92
May,,,,,,,,,,2.75,1.4,0.25,,2.2,3.15,1.45,2.9,2.75,1.05,1.5,1.5,1.8,0.4,2.52,1.78,1.55,2.21,1.56,2.3,0.42,3.67,0.7,,,4.83,3.15,1.66,2.04,1.39,1.27,0.8,2.82,1.6,0.97,1.76,0.83,0.96,1.72,1.76,,0.61,0.87,1.12,1.47,2.52,3.09,2.74,2.4,2.74,1.64,1.12,1.33,2.37,1.77,,1.8,0.3,1.16,1.06,1.57,0.6
June,,,,,,,,,,0.42,0,0.5,,1.1,0.75,0.8,0.15,4.7,0.7,0.9,1,1.3,2.24,1.51,1.3,1.27,3.77,0.78,1.18,0.42,0.78,1.74,,,1.48,1.27,1.69,2.35,3.16,1.83,1.65,3.1,0.52,0.61,0.6,2.92,0.59,1.08,3.2,,0.27,0.88,0.6,1.25,2.82,2.13,2.68,1.57,3.71,2.53,0.85,1.05,2.4,1.1,,0.37,0.86,0.3,0.33,3.48,2.06
July,,,,,,,,,,1.1,1.99,0.4,,5.1,0.2,0.43,0.35,0.95,2.1,4.65,1,1,0.36,0.66,4.66,3.86,3.11,1.95,5.85,0.7,3.5,1.65,,1.94,5.15,2.3,2.24,2.19,0.95,2.67,1.39,2.68,3.06,2.74,1.85,1.82,5.81,2.84,3.31,,4.97,2.7,1.51,0.36,1.98,2.87,3.72,0.42,2.15,2.05,2.79,3.47,1.78,4.06,,0.41,2.15,1.97,4.27,1.19,2.72
August,,,,,,,,,,0,1.85,,,1.85,2.8,3.1,0.95,1.75,0.7,1.05,4.15,0.6,4.83,0.67,0.96,2.89,2.95,4.4,1.96,2.33,3.41,1.49,,4.82,1.77,2.54,1.55,2.74,3.17,2.24,7.24,1.66,0.75,1.02,2.87,2.82,0.97,2.86,1.01,,1.19,3.09,3.01,5.68,1.27,3.19,1.69,0.05,3.85,3.01,1.84,3.74,2.98,1.72,,0.36,1.38,2.61,3.95,0.42,4.66
September,,,,,,,,,,1.7,1.3,,,2.9,1.1,1.7,0.6,0.3,3.85,1,0.5,0.65,2.49,3.22,1.45,1.76,1.61,1.54,7.5,1.77,0.66,0.8,,2.88,3.91,2.73,3.41,5.11,2.48,0.57,3.19,0.82,2.12,1.15,2.85,2.96,3.57,0.6,3.1,,1.83,0.56,2.19,3.35,1.75,2.38,4.24,1,1.92,1.68,4.17,1.12,0.72,2.35,,1.05,2.94,1.44,0.82,0.69,3.33
October,,,,,,,,,,1.13,2.65,1.45,,2.9,1.1,1.55,2.25,2.5,1.9,2,1.65,1.45,3.17,0.92,1.9,2.91,4.5,2.54,2.15,2.55,3.25,2.12,,1.86,3.44,1.93,4.87,3.67,1.86,2.21,2.1,0.96,5.73,3.48,2.78,2.69,0.69,2.51,3.08,,4.18,2.85,1.59,1.71,3.95,2.05,0.27,1.43,2.27,1.94,1.06,0.75,1.69,1.04,,1.47,0.86,0.8,2.27,2.54,7.24
