DARTMOOR-SWINCOMBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX638720,Long,-3.9231,Lat,50.5323,Elevation,1120,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,9.33,9.99,,,3.09,12.69,7.8,15.05,7.3,8.84,1.67,12.22,15.56,10.35,10.56,5.93,11.06,10.44,17.05,,,,,,,
February,,,,,,8.99,,,,4.9,5.27,4.82,0.07,5.75,0.5,9.83,9.41,13.04,3.32,5,11.52,11.11,1.12,4.95,,,,,,,
March,,,,,,1.35,,,,0.81,4.83,3.38,5.44,8.55,5.29,2.78,7.19,10.67,0.9,2.77,5.73,7.99,6.98,2.31,,,,,,,
April,,,,,,5.56,,,,0.91,5.75,6.88,6.16,4.11,5.6,9.61,5.44,6.68,0.27,6.21,4.94,1.87,6.07,2.05,,,,,,,
May,,,,,,7.68,,,,6.26,3.4,5.06,7.3,4.76,3.68,3.46,1.2,4.59,6.46,1.32,2.5,3.42,12.83,8.55,,,,,,,
June,,,,,,0,,,,3.13,2.29,5.47,3.03,3.71,2.45,9.22,2.31,2.13,3.03,6.11,1.17,3.38,0.64,3.23,,,,,,,
July,,,,,,6.55,,,,2.88,4.88,7.79,8.74,4.48,2.97,1.61,11.09,3.12,6.42,12.03,4.29,2.43,4.95,5.17,,,,,,,
August,,,,,8.09,6.02,,,,4.54,8.53,5.8,2.56,3.1,7.75,3.36,1.06,1.17,8.55,5.49,0.19,8.77,6.38,6.03,,,,,,,
September,,,,,6.98,6.02,,,,0.65,8.59,3.03,11.09,2.19,6.56,7.57,5.57,4.72,2.77,0.73,2.88,0.66,5.23,6.49,,,,,,,
October,,,,,10.23,7.2,,,,12.25,8.7,1.68,16.56,5.94,7.35,5.63,2.14,5.73,8.27,9.81,9.01,1.87,5.82,6.45,,,,,,,
November,,,,,7.55,5.93,,,,21.71,11.95,15.47,4.14,1.96,3.36,11.26,5.49,6.03,12.56,14.66,12.13,5.64,1.67,4.97,,,,,,,
December,,,,,11.15,9.22,,,,17.1,6.88,4.44,8.46,2.67,27.62,10.11,7.7,6.85,9.91,5.3,6.9,8.24,12.44,6.4,,,,,,,
Total,,,,,,73.85,,,,78.23,83.76,71.62,88.6,54.52,81.97,76.11,70.82,80.29,72.81,79.99,67.19,66.44,74.57,73.65,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moorland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact location unknown. NGR added later on sheet is much higher than given alt so adjusted for that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
