DARTMOOR-SWINCOMBE-(NEW-LOCATION),,,,,,,,,,,,,,,,
Grid ref,SX633719,Long,-3.927267,Lat,50.53001,Elevation,1047,ft,,,,,,,,
Station no,1704,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.2,10.7,8.4,15.15,2.24,3.23,10.59,9.15,1.6,2.8,10.01,7.97,9.34,8.3,12.03,6.84
February,7.37,7.98,3.62,3.58,3.51,13.7,10.18,1.78,3.23,7.27,6.62,0.42,11.09,8.36,0.59,8.93
March,3.29,5.12,14.66,4,3.23,5.49,8.87,7.1,1.74,6.32,3.05,3.98,8.29,4.01,8.5,6.05
April,2.16,3.32,6.54,3.85,3.49,4.67,4.82,7.15,4.63,0.82,2.42,1.23,0.79,1.99,7.54,5.1
May,6.32,6.53,3.39,3.39,4.56,3.35,4.01,4.43,6.25,5.76,7.48,1.57,3.69,7.79,2.18,3.86
June,7.03,5.86,4.54,3.28,0.96,2.28,1.89,2.99,5.84,6.72,4.56,3.75,2.29,5.46,1.89,2.9
July,4.18,2.64,3.67,3.51,3.87,7.51,3.2,2.66,6.12,6.71,2.05,5.66,6.42,5.29,2.55,6.73
August,3.21,7.24,1.06,5.31,4.3,10.73,11.01,8.28,4.28,6.13,0.52,6.04,6.25,9.32,3.14,5.46
September,5.38,11.33,2.89,4.76,9.53,11.09,9.59,6.38,5.83,7.99,3.48,13.25,7.13,9.34,0.33,9.74
October,7.91,4.98,1.73,7.33,10.79,2.91,2.49,8.13,6.17,7.53,4.18,3.45,5.76,7.46,7.2,15.39
November,1.78,17.85,6.34,3.93,10.34,13.94,13.43,8.21,5.8,14.81,9.09,3.66,4.24,6.17,13.53,12.37
December,10.88,11.18,5.5,15.94,5.7,7.8,10.02,6.77,1.8,7.55,12.69,12,7.27,7.86,16.7,7.57
Total,62.71,94.73,62.34,74.03,62.52,86.7,90.1,73.03,53.29,80.41,66.15,62.98,72.56,81.35,76.18,90.94
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1951 not printed as big,,,,,,,,,,,,,,,,
1957 Jan part estimated,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Gauge moved a few times but likely just across to the other side of the intake, about 100ft",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1941 Moorland,,,,,,,,,,,,,,,,
"New height of gauge given in 1945, new elevation in1947",,,,,,,,,,,,,,,,
"Unclear when gauge moved, but seems likely it was in new location when restarted in 1945",,,,,,,,,,,,,,,,
