"DARTMOOR (SWINCOMBE)",,,,,,,,,,,,
Grid ref,SX635718,Long,-3.927267,Lat,50.530010,,,,,,,
Station no,1704,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.59,9.15,1.60,2.80,10.01,7.97,9.34,8.30,12.03,6.84,,
February,10.18,1.78,3.23,7.27,6.62,0.42,11.09,8.36,0.59,8.93,,
March,8.87,7.10,1.74,6.32,3.05,3.98,8.29,4.01,8.50,6.05,,
April,4.82,7.15,4.63,0.82,2.42,1.23,0.79,1.99,7.54,5.10,,
May,4.01,4.43,6.25,5.76,7.48,1.57,3.69,7.79,2.18,3.86,,
June,1.89,2.99,5.84,6.72,4.56,3.75,2.29,5.46,1.89,2.90,,
July,3.20,2.66,6.12,6.71,2.05,5.66,6.42,5.29,2.55,6.73,,
August,11.01,8.28,4.28,6.13,0.52,6.04,6.25,9.32,3.14,5.46,,
September,9.59,6.38,5.83,7.99,3.48,13.25,7.13,9.34,0.33,9.74,,
October,2.49,8.13,6.17,7.53,4.18,3.45,5.76,7.46,7.20,15.39,,
November,13.43,8.21,5.80,14.81,9.09,3.66,4.24,6.17,-999.00,12.37,,
December,10.02,6.77,1.80,7.55,12.69,12.00,7.27,7.86,16.70,7.57,,
Total,90.10,73.03,53.29,80.41,66.15,62.98,72.56,81.35,76.18,96.94,,
Calc annual,90.10,73.03,53.29,80.41,66.15,62.98,72.56,81.35,62.65,90.94,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,13.53,6.00,,
