TAUNTON-LINDEN-GROVE-(NEW-GAUGE),,,,,,,,,,,,,,,,,,
Grid ref,ST222251,Long,-3.11043,Lat,51.0206,Elevation,70,ft,,,,,,,,,,
Station no,RR7942,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,1.34,3.64,3.27,0.83,4.38,1.2,0.77,1.15,3.94,0.73,3.44,5.29,0.51,3.01,,,,
February,1.41,1.76,4.75,0.92,2.35,1.19,1.87,0.4,4.14,1.39,2.73,0.89,3,4.74,,,,
March,1.73,3.64,1.95,4.07,1.3,0.67,2.74,3.4,0.5,1.45,4.31,3.6,4.68,0.67,,,,
April,1.26,1.97,0.82,2.13,0.98,3.98,1.89,2.22,2.5,1.98,0.2,2.95,1.21,,,,,
May,2.29,2.19,1.92,0.19,2.72,2.52,1.46,0.87,2.65,1.18,1.59,2.68,1.08,,,,,
June,2.49,2.59,0.77,3.5,2.09,1.28,0.28,3.52,3.04,1.93,4.22,0.59,2.41,,,,,
July,1.85,1.87,3.68,0.38,0.51,1.89,1.4,1.55,2.39,0.11,2.05,0.38,4.7,,,,,
August,3.03,2.89,2.65,4.17,1.27,1.6,2.49,1.93,4.12,1.52,4.86,1.58,2.42,,,,,
September,2.69,3.63,1.49,1.33,0.54,0.38,2.39,2.04,0.38,0.86,0.92,2.07,2.19,,,,,
October,2.21,6.16,1.12,1.77,4.04,6.42,3.42,4.68,6.25,2.67,4.03,3.89,3.64,,,,,
November,3.5,1.46,1.67,2.83,3.45,2.42,1.1,0.9,4.33,2.92,2.27,2.59,3.18,,,,,
December,2.09,3.34,2.09,0.64,1.68,4.29,2.47,4.47,5.65,8.31,3.79,2.3,7.16,,,,,
Total,25.89,35.14,26.18,22.76,25.31,27.84,22.28,27.13,39.89,25.05,34.41,28.81,36.18,,,,,
,,,,,,,,,,,,,,,,,,
Due to overlap but same location and observer taken to be a new gauge,,,,,,,,,,,,,,,,,,
1914 Aug 31 Inspection Good copper Snowdon Very badly sheltered No improvement possible,,,,,,,,,,,,,,,,,,
