TAUNTON-LINDEN-GROVE,,,,,,,,
Grid ref,ST222251,Long,-3.11043,Lat,51.0206,Elevation,70,ft
Station no,RR7942,,,,,,,
,,,,,,,,
,1900,1901,1902,,,,,
January,4.52,2.28,1.38,,,,,
February,4.25,0.96,1.44,,,,,
March,1.58,2.28,1.77,,,,,
April,1.04,2.34,1.3,,,,,
May,2.25,0.73,2.33,,,,,
June,2.85,1.73,2.53,,,,,
July,1.06,2.39,1.93,,,,,
August,1.97,1.63,3.12,,,,,
September,0.51,2.33,2.81,,,,,
October,3.16,2.16,2.24,,,,,
November,3.64,1.35,3.58,,,,,
December,4.76,5.85,2.16,,,,,
Total,31.59,26.03,26.59,,,,,
,,,,,,,,
Station starts 1900,,,,,,,,
