"ANGERTON HALL",,,,,,,,,,,,
Grid ref,NZ094852,Long,-1.854006,Lat,55.161037,,,,,,,
Station no,RR4800,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.59,2.66,1.14,4.06,2.16,0.64,2.52,0.87,1.69,,,
February,5.73,1.93,1.80,2.71,3.07,0.97,1.01,1.57,2.25,,,
March,2.29,2.72,1.66,2.09,2.28,1.87,1.54,1.42,4.17,,,
April,1.77,1.02,1.54,1.78,1.88,3.14,1.17,2.09,2.77,,,
May,1.68,4.06,3.15,2.17,3.50,1.44,4.87,4.16,2.30,,,
June,5.13,2.06,2.27,2.85,2.62,1.50,2.11,3.33,0.43,,,
July,1.99,3.57,2.53,5.39,1.66,0.96,1.93,1.47,3.39,,,
August,4.82,3.01,2.12,2.94,2.96,4.21,4.70,2.85,2.82,,,
September,1.29,1.86,1.06,2.71,1.96,1.97,0.88,0.53,2.57,,,
October,6.25,2.08,2.47,10.14,0.85,3.66,6.31,5.87,3.05,,,
November,4.65,5.89,1.86,2.38,3.34,5.95,3.70,2.00,1.76,,,
December,2.07,3.99,5.42,2.85,2.58,0.93,2.73,3.72,1.86,,,
Total,42.26,34.85,27.02,42.07,28.86,27.24,33.47,29.88,29.06,,,
Calc annual,42.26,34.85,27.02,42.07,28.86,27.24,33.47,29.88,29.06,0.00,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,NaN,,
