BUXTON-HURDLOW-TOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK100678,Long,-1.8517356,Lat,53.207176,Elevation,1267,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,8.2,4.05,3.89,5.27,4.47,4.76,3.84,11.25,1.35,5.38,,6.38,3.46,6.52,4.35,6.41,8.77,9.26,8.92,4.5,2.37,3.7,8.58,9.2,4.72,6.27,3.74,12.67,3.64,2.8
February,,0.14,5.96,4.53,1.11,7.92,3.72,1.84,6.13,1.47,0.96,5.22,0.22,4.39,0.1,9.13,3.18,8.85,3.91,4.7,3.39,5.52,2.35,6.31,2.44,6.6,10.82,-999,5.25,2.73,
March,,3.57,4.33,4.87,1.25,2.04,1.82,5.88,2.42,0.82,2.63,,3.14,3.95,3.65,2.73,4.27,4.22,1.89,4.58,4.59,5.87,2.35,2.16,0.96,2.83,1.99,-999,1.95,3.26,3.55
April,6.77,1.33,2.38,3.22,1.29,2.68,2.18,4.85,1.97,1.8,1.84,5.48,4.42,2.12,4,5.18,2.58,4.75,0.84,3.21,4.49,3.52,4.53,3.34,4.06,3.44,2.21,-999,,5.15,4.2
May,6.2,1.56,0.92,4.98,5.14,5.45,3.42,1.55,1.13,3.26,2.59,2.92,5.37,2.31,3.36,0.63,0.38,4.43,5.14,1.98,1.19,4.64,7.29,5.2,2.78,3.18,1.45,3.46,2.76,2.97,
June,4,0.42,1.43,1.06,3.93,0.67,3.94,6.68,4.72,2.32,2.62,6.76,,1.63,2.02,5.67,5.39,1.24,5.57,3.73,1.61,2.71,0.87,4.38,5.99,6.34,5.86,3.24,8.24,1.89,
July,4.93,0.75,5.41,3.51,3.48,2.49,3.73,5.22,2.81,3.11,7.69,5.37,4,3.42,3.05,2.85,8.16,5.24,7.08,10.54,5.99,4.07,7.47,2.99,3.76,3.01,6.05,3.32,3.73,4,
August,2.59,5.95,4.26,7.02,6.79,4.27,5.13,6,5.73,5.22,4.93,8.11,1.92,1.66,3.51,0.52,3.26,1.9,3.19,3.27,2.98,11.78,4.64,5.99,3.56,4.49,6.89,0,6.75,2.13,
September,2.43,1.57,4.75,6.53,5.06,4.19,3.22,8.63,0.62,2.56,4.79,3.57,3.9,1.25,5.02,8.89,10.98,1.34,3,1.6,5.02,0.68,3.95,6.49,7.01,3.16,9.73,3.23,3.97,2.48,
October,2.74,3.82,1.49,3.86,7.6,8.18,3.88,5.26,6.29,6.81,8.35,,,6.85,6.96,11.08,8.03,3.63,9.83,5.83,4.8,7.88,10.14,3.53,8.56,6.75,0.53,1.19,3.76,6.25,
November,2.59,2.19,2.22,5.61,3.09,2.61,5.97,5.8,9.19,8.56,5.09,6.83,,3.86,3.5,8.53,7.58,2.95,8.39,9.87,13.22,6.17,1.58,6.41,,1.06,10.95,8.11,4,5.4,
December,2.8,4.43,4.26,3.82,3.7,4.32,2.03,2.51,3.29,12.06,4.07,,2.19,0.35,10.51,6.11,6.99,4.27,7.39,4.54,7.4,4.16,6.12,3.26,5.63,5.83,6.25,5.05,5.74,9.11,
Total,,33.93,41.46,52.9,47.71,49.29,43.8,58.06,55.55,49.34,50.94,,,35.25,52.2,65.67,67.21,51.59,65.49,62.77,59.18,59.37,54.99,58.64,,51.41,69,43.78,,49.01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940s record. Altitudes match. Gauge moved 200 to 300 yards in 1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
