BROMPTON - DUNNAS CLOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE372960,Long,-1.429,Lat,54.358,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943
January,1.46,3.53,1.90,3.44,0.74,3.35,2.30,1.75,1.75,3.21,2.59,1.24,1.96,1.66,2.35,2.16,3.86,2.09,3.55,1.92,1.54,2.03,1.33,1.97,3.25,2.97,2.13,3.89,1.54,2.45,2.15,4.00
February,1.20,1.11,1.53,3.19,2.10,0.64,2.25,1.25,1.00,0.17,2.22,3.88,1.27,3.12,1.58,1.37,1.54,0.91,1.22,1.51,0.95,3.78,0.44,2.67,3.02,3.35,1.10,1.34,1.18,3.41,1.70,
March,2.70,2.06,1.80,1.60,5.77,1.58,2.31,1.75,2.75,1.03,1.89,1.37,1.16,1.37,0.66,2.67,2.34,0.33,2.73,1.00,1.72,1.91,1.40,0.94,1.62,2.69,0.12,1.92,2.56,1.97,1.93,
April,0.04,3.57,0.53,0.63,1.05,1.80,1.64,1.25,5.50,1.34,2.36,1.45,2.06,2.70,0.77,2.02,0.62,1.23,2.76,3.96,1.39,0.98,2.85,3.10,1.20,3.11,0.12,1.00,1.37,0.73,0.84,
May,2.38,2.15,1.37,1.45,2.78,0.50,1.50,0.75,3.25,1.30,1.89,2.70,4.47,3.09,2.62,1.86,1.61,1.54,1.29,2.67,4.10,2.26,1.23,0.97,1.39,2.52,3.11,1.69,0.81,1.33,1.96,
June,6.88,1.05,2.67,0.38,2.15,2.10,0.64,0.50,1.25,0.34,1.88,0.83,2.56,0.10,3.32,2.28,3.44,1.58,1.39,3.97,0.88,1.95,2.07,3.33,5.68,1.53,2.12,2.49,1.19,0.65,0.74,
July,3.73,0.53,4.10,1.53,2.45,1.01,3.24,0.75,5.00,1.62,4.08,2.26,3.03,1.98,2.52,4.35,0.71,2.27,6.99,3.82,4.68,2.20,2.50,0.47,3.24,1.10,2.09,3.18,3.38,1.05,2.51,
August,4.55,1.39,0.94,2.59,1.89,7.73,0.47,3.25,1.45,4.14,2.32,3.27,3.90,2.95,2.41,6.04,4.77,2.49,3.57,4.23,1.96,0.30,2.10,2.41,2.12,1.06,3.04,2.26,0.59,2.43,2.23,
September,1.92,0.85,1.34,1.18,2.84,-999.00,3.92,0.50,1.22,1.10,2.48,2.57,1.86,2.66,1.92,4.74,0.57,1.08,3.15,4.12,2.42,1.78,1.92,5.22,2.51,1.15,1.93,1.51,1.13,0.52,0.92,
October,1.83,1.90,1.65,1.30,1.69,-999.00,1.75,2.75,1.76,1.10,1.40,2.61,3.62,2.76,2.96,2.15,3.05,2.63,2.18,1.18,3.49,3.67,2.83,3.58,1.50,1.51,3.56,3.58,2.73,3.11,2.64,
November,1.94,1.95,-999.00,1.05,1.97,1.06,0.75,2.25,0.95,2.17,0.94,3.29,1.33,2.10,4.34,1.95,2.50,3.00,3.19,3.42,1.43,2.97,1.62,4.01,2.35,2.11,3.21,2.25,3.06,3.27,1.20,
December,1.35,1.85,-999.00,4.80,1.82,1.90,2.44,1.75,2.76,2.11,3.47,3.01,2.82,2.40,0.96,1.74,1.63,4.18,2.64,0.87,1.08,1.23,4.28,2.20,1.93,3.21,3.51,1.58,2.17,0.24,1.98,
Total,29.98,21.94,24.24,23.14,27.25,24.15,23.21,18.50,28.64,19.63,27.52,28.48,30.04,26.89,26.41,33.33,26.64,23.33,34.66,32.67,25.64,25.06,24.57,30.87,29.81,26.31,26.04,26.69,21.71,21.16,20.80,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# There is an aggregated reading of 6.41 covering November and December 1914.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# There is an aggregated reading of 2.48 covering September and October 1917.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The gauge moved 60 yards north in 1920 and 200 yards east in 1937. Totals for the years have been retained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The Yeoman family lived at Dunnas Close on the southern edge of Brompton.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
