HEREFORD BLUE SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SO512402,Long,-2.7126432,Lat,52.058338,Elevation,190,ft,,,,,,,,,,,,
Station no,RR4664,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,1.23,2.87,2.8,3.52,2.14,4.86,1.8,2.05,,,,,,,,
February,,,,,1.26,1.96,2.21,1.74,1.04,2.86,1.35,1.17,,,,,,,,
March,,,,,2.35,0.92,2.39,3.59,1.13,1,1.25,1,,,,,,,,
April,,,,,1.25,0.64,1.62,2.32,1.52,0.92,0.57,1.97,,,,,,,,
May,,,,,1.16,2.46,0.79,2.46,1.51,3.94,1.06,0.97,,,,,,,,
June,,,,,1.09,1.61,2.5,0.81,0.38,0.84,0.2,2.83,,,,,,,,
July,,,,,0.39,2.27,0.7,3.39,1,0.24,1.05,2.75,,,,,,,,
August,,,,,0.65,3.98,2.93,1.37,5.52,0.76,0.97,1.6,,,,,,,,
September,,,,,3.51,0.12,5.3,2.17,3.11,5.61,1.28,5.6,,,,,,,,
October,,,,2.56,2.23,3.77,2.4,3.11,1.53,1.73,3.42,2.79,,,,,,,,
November,,,,1.87,2.36,2.73,1.02,1,1.11,2.22,2.25,0.83,,,,,,,,
December,,,,0.93,1.84,1.67,1.24,0.79,5.38,3.23,1.41,1.37,,,,,,,,
Total,,,,,19.32,25,25.9,26.27,25.37,28.21,16.61,24.93,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1870 May mistranscribed,,,,,,,,,,,,,,,,,,,,
