MORECAMBE (27 STUART AVENUE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD448646,Long,-2.8450925,Lat,54.074355,Elevation,18,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3034/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.34,0.61,3.8,5.9,4.89,3.8,4.19,3.54,7.69,2.59,1.9,4.45,4.59,2.18,3.45,,,,,,
February,,,,,,,,,2.54,1.95,3.78,1.51,2.04,1.47,3.67,3.67,0.68,2.35,2.04,4.37,3.25,1.18,1.32,3.09,,,,,,
March,,,,,,,,,1.72,3.72,2.61,1.98,1.1,0.54,2.66,0.97,5.57,2.42,2.1,2.37,4.18,2.37,0.61,2.5,,,,,,
April,,,,,,,,,2.4,1.87,1.26,1.53,2.8,3.07,1.74,1.29,3.75,1.74,3.91,2.86,2.06,2.86,3.14,1.19,,,,,,
May,,,,,,,,,0.95,1.95,2.84,3.09,4.62,3.05,2.97,1.63,3.19,1.26,2.89,1.11,1.77,2.52,1.98,2.73,,,,,,
June,,,,,,,,,3.45,0.42,0.39,0.79,2.23,3.35,4.35,3.07,3.06,5.94,0.73,2.4,1.28,3.97,1.8,3.69,,,,,,
July,,,,,,,,,6.11,3.69,1.1,4.15,5.4,2.61,2.71,5.04,3.5,2.56,4.04,3.99,2.3,1.83,4.45,5.65,,,,,,
August,,,,,,,,,1.96,1.32,3.68,4.43,7.2,3.19,0.98,4.75,0.47,3.98,2.67,6.16,4.08,5.31,3.58,4.4,,,,,,
September,,,,,,,,,1.37,4.69,1.24,4.31,5.54,5.07,4.32,6.2,3.82,5.7,1.39,7.74,3.78,3.23,4.59,8.07,,,,,,
October,,,,,,,,,1.01,5.47,6.46,4.67,4.84,4.39,5.08,0.34,0.32,2.15,5.37,4.21,1.32,3.09,1.81,9.02,,,,,,
November,,,,,,,,,4.96,4.71,1.98,1.06,3.21,6.2,0.09,5.98,6.05,4.31,4.68,5.28,7.02,2.42,5.71,6.76,,,,,,
December,,,,,,,,,2.73,4.49,1.68,4.58,2.1,3.04,2.57,5.05,2.74,2.66,6.18,2.45,9.23,4.22,2.3,5.09,,,,,,
Total,,,,,,,,,,36.62,27.63,35.9,46.98,40.87,34.94,42.18,36.69,42.76,38.59,44.84,44.72,37.59,33.47,55.64,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Jan and total estimated hence removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
