WOOD-GREEN-MARYLAND-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ312915,Long,-0.10678805,Lat,51.607058,Elevation,110,ft.,,,,,,,,,,,,
Station no,883,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,2.18,2.8,2.58,4.72,1.57,2.11,1.9,1.96,4.9,1.17,1.1
February,,,,,,,,,,1.34,2.1,1.02,1.5,0.97,1.76,3.14,1.72,1.82,1.34,3.97
March,,,,,,,,,,3.15,3.64,2.47,0.51,0.22,0.75,1.39,5.64,0.65,1.01,0.81
April,,,,,,,,,,1.55,1.53,1.32,1.48,1.6,1.19,1.45,1.8,1.98,1.74,2.25
May,,,,,,,,,,1.23,1.69,2.93,2.26,0.95,3.37,3.05,0.96,2.23,2.53,1.71
June,,,,,,,,,,0.55,1.53,0.68,1.32,1.84,2,2.98,2.7,2.4,0.78,1.68
July,,,,,,,,,,2.73,3.45,1.73,1.64,2.05,3.21,3.09,1.56,0.98,1.65,3.89
August,,,,,,,,,,0.13,5.27,1.82,1.82,2.43,1.42,4.17,0.13,3.12,1.63,3.12
September,,,,,,,,,,1.11,0.66,1.41,2.14,2.98,1.79,3.27,1.34,1.7,0.32,2.93
October,,,,,,,,,,3.05,0.83,4.34,2.61,3.49,2.61,1.62,0.18,1.97,5.56,0.55
November,,,,,,,,,,5.85,2.44,2.41,1.46,3.97,0.3,4.25,1.11,2.09,2.32,5.25
December,,,,,,,,,,1.25,1.96,2.83,1.49,1.43,3.4,2.17,2.52,2.83,1.82,1.88
Total,,,,,,,,,,24.12,27.9,25.54,22.95,23.5,23.91,32.48,21.62,26.67,21.87,29.14
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is 100 East of 67 Maryland Road where the gauge moved to in 1940. The 1950s NGR of TQ311918 is not Maryland Road,,,,,,,,,,,,,,,,,,,,
