HEYTESBURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST925426,Long,-2.1086831,Lat,51.18258,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,4.28,2.93,4.09,1.57,4,3.83,5.03,4.27,5.14,1.47,5.31,2.67,2.97,2.8,2.83,0.75,4.55,5.91,4.11,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,1.02,0.44,3.32,6.72,0.33,4.79,1.86,4.27,2.22,0.79,0.96,2.33,0.08,4.63,0.11,3.12,2.81,5.33,0.85,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,2.17,2.1,2.94,2,1.18,0.29,0.57,4.27,2.87,0.28,1.74,0.84,1.75,3.41,2.85,0.75,3.06,4.44,0.15,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,4.84,0.87,3.67,2.32,3.64,2.49,3.6,1.86,1.58,0.89,2.14,2.68,3.63,1.17,2.05,3.76,1.87,1.98,0.09,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.44,2.02,0.49,1.16,5.81,5.1,3.21,0.81,2.73,2.12,1.77,2.27,4.39,3.04,0.83,0.82,0.57,2.3,1.31,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.47,0.27,0.96,0.65,2.36,0.04,2.77,3.36,2.39,1.43,1.11,2.31,1.51,1.16,0.99,4.37,6.28,1.75,1.33,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,5.66,0.43,5.53,1.39,4.4,3.31,2.06,3.64,2.01,1.34,2.29,5.15,3.34,1.99,1.9,2.21,7.16,1.88,3.54,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.22,1.52,3.58,2.97,2.5,3.63,1.51,3.62,2.16,1.51,2.96,5.19,1.11,0.76,2.06,2.52,0.36,1.28,2.93,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.89,1.61,1.64,2.97,3.74,4.48,1.57,5.86,1.93,0.75,3.45,1.65,3.62,2.11,3.17,3.79,3.42,5.34,1.99,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2.71,0.95,1.84,5.37,5.43,4.28,3.39,2.6,5.07,4.76,1.91,0.75,5.24,2.65,2.09,4.81,1.77,4.93,4.23,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
