STIRLING ( NORTH THIRD RESERVOIR ) NO 3,,,,,,,,,,
Grid ref,NS 733 886,Long,-4.037064,Lat,56.073336,Elevation,989,ft,,
Station no,5354/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,7.33,2.35,6.5
February,,,,,,,,3.33,2.6,5.85
March,,,,,,,,2.35,3.6,2.6
April,,,,,,,,1.7,4.7,5.45
May,,,,,,,,4.35,1.3,4
June,,,,,,,,4.45,3.3,3.3
July,,,,,,,,7.55,6.9,4.85
August,,,,,,,,6.05,1.62,4.2
September,,,,,,,,4.7,1.4,3.8
October,,,,,,,,6.45,5.25,5.95
November,,,,,,,1.85,2.15,6.85,7.35
December,,,,,,,7.35,8.25,9.25,6.3
Total,,,,,,,,58.66,49.12,60.15
,,,,,,,,,,
G Move 1957,,,,,,,,,,
,,,,,,,,,,
Station no,5354/2,,,,,,,,,
Midas,15573,,,,,,,,,
Hyd Stn,894269,,,,,,,,,
