"STIRLING ( NORTH THIRD RESERVOIR ) NO 2",,,,,,,,,,,,
Grid ref,NS742891,Long,-4.022825,Lat,56.078113,,,,,,,
Station no,5354,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.30,3.50,2.00,5.65,3.05,3.35,8.65,6.60,1.75,5.85,,
February,4.35,1.00,1.95,5.70,2.70,1.60,3.85,3.80,2.40,5.25,,
March,3.80,4.60,2.20,4.90,2.05,2.90,6.00,2.00,3.30,2.10,,
April,4.15,2.15,2.30,2.35,2.30,0.90,2.00,1.35,4.50,5.05,,
May,1.70,2.40,3.15,5.60,4.10,2.40,3.30,4.00,1.30,3.80,,
June,2.65,3.65,3.65,3.42,2.20,4.15,2.10,4.30,3.15,3.20,,
July,4.20,2.65,6.75,2.01,1.05,5.40,5.35,7.70,6.55,4.75,,
August,8.05,6.75,2.55,4.95,1.06,7.75,5.00,6.10,1.39,3.85,,
September,4.90,2.95,6.55,7.10,4.05,6.45,3.80,4.50,1.30,3.40,,
October,1.40,4.75,2.90,10.65,3.70,6.05,5.25,5.95,5.00,5.35,,
November,8.05,2.05,9.00,9.30,2.75,1.40,1.44,1.95,6.45,7.30,,
December,8.45,4.70,7.20,8.20,9.75,7.25,7.20,7.60,9.15,6.20,,
Total,58.00,41.15,50.20,69.83,38.76,49.60,53.94,55.85,46.24,56.10,,
Calc annual,58.00,41.15,50.20,69.83,38.76,49.60,53.94,55.85,46.24,56.10,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
