ILDERTON LILBURN TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NU023243,Long,-1.965136,Lat,55.512458,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,
January,,,,,,,2.38,2.78,0.88,0.87,4.07,1.14,1.68,3.42,0.9,2.1,2.46,4.74,3.02,2.13,1.87,0.31,2.88,1.88,1.33,1.86,1.01,3.65,2.38,1,0.48,2.1,0.84,1.75,2.92,1.43,2.87,1.47,0.9,0.57,1.83,1.12,2.39,0.62,1.74,4.31,1.33,3.62,0.54,2.24,3.28,1.55,0.88,3.85,1.69,0.54,1.75,1.08,1.63,1.68,1.81,1.9,2.87,2.93,1.82,2.28,1.91,3.16,2.96,3.61,2.09,4.24,3.7,1.59,1.81,2.11,3.29,1.68,3.94,1.93,2.56,,,,,,,,,,,,,,,,,,
February,,,,,,,1.53,0.45,0.6,1.74,2.18,2.12,1.5,0.5,2.41,1.05,3.09,0.82,1.2,1.23,2.76,2.43,2.62,2.12,1.5,3.18,2.79,2.5,2.26,3,2.01,2.83,2.33,2.17,2.29,1.42,0.91,0.66,0.54,1.76,1.64,0.07,1.04,1.92,2.43,1.68,1.17,2.24,1.12,1.68,4.1,3.16,1.48,1.91,2.21,0.87,1.05,1.4,0.99,3.31,2.25,0.86,2.08,0.88,2.01,3.35,3.19,1.32,0.83,1.84,1.89,0.13,1.98,4.04,0.87,5.45,2.49,0.76,1.5,1.84,1.94,,,,,,,,,,,,,,,,,,
March,,,,,,,0.31,2.36,0.8,2.06,2.53,1.7,3.88,1.21,2.58,1.26,3.67,2.32,1.13,1.81,1.19,0.85,2.92,1.73,1.84,1.21,2.96,3.49,1.3,1.38,2.04,2.5,2.57,3.42,2.48,1.17,3.39,2.08,5.22,2.83,2.19,3.87,1.73,1.4,1.18,2.41,1.06,2.97,1.96,1.96,2.5,2.26,1.67,1.43,1.5,1.37,1.63,1.15,4.07,6.72,0.65,2.65,1.76,3.35,2.86,2.39,4.48,1.31,0.77,2.63,3.45,1.38,1.7,1.58,0.23,2.08,0.87,2.77,3.48,0.15,2.81,,,,,,,,,,,,,,,,,,
April,,,,,,,3.34,1.77,1.46,2.29,1.05,2.36,1.4,1.02,0.91,0.85,2,2.44,2.85,0.89,0.62,3.62,3.85,0.48,0.89,1.97,4.38,3.56,1.96,2.4,1.38,0.8,3.94,1.36,2.22,3.27,1.42,0.89,2.38,3.58,0.62,1.38,2.64,0.65,1.14,1.03,1.43,2.64,2.8,2.38,2.08,1.51,1.85,1.39,1.12,1.96,0.97,3.17,2.44,3.08,1.71,1.4,0.14,2.51,0.5,0.58,1.79,3.75,0.99,1.85,2.29,0.58,2.03,1.84,1.29,2.98,1.94,1.27,1.23,1.08,2.06,,,,,,,,,,,,,,,,,,
May,,,,,,,1.61,1.79,1.41,0.35,0.28,1.22,2.17,1.59,3.06,4.93,1.01,1.77,1.35,2.61,1.62,0.9,2.52,1.5,2.09,1.11,1.17,3.71,2.46,2.05,1.49,2.44,3.25,2.13,1.43,3.5,2.67,1.95,0.98,2.66,1.55,1.53,2.94,1.31,3,0.9,0.63,1.45,1.96,2.62,1.68,3.29,4.15,1.46,2.54,0.67,8.05,3.37,1,1.36,1.75,0.49,1.07,2.61,1.46,1.44,3.25,1.9,0.87,0.37,3.16,1.31,0.75,2.62,4.36,2.9,2.22,1.73,1.28,0.91,1.31,,,,,,,,,,,,,,,,,,
June,,,,,,,3.27,4.05,1.34,1.82,3.93,1.16,3.12,3.88,0.87,0.59,0.87,1.5,0.51,2.25,1.26,2.84,1.5,1.04,0.91,2.76,2.33,1.67,1.93,4.47,2.15,1.13,3.85,3.09,1.1,0.61,1.6,0.32,2.43,0,2.35,0.3,4.09,1.76,1.94,1.4,0.78,2.83,1.54,1.15,3.52,1.05,2.25,3.04,1.29,0.47,1.45,2.51,0.25,2.07,1.48,5.65,5.03,1.42,3.77,0.9,2.66,1.04,0.4,0.85,0.51,0.48,1.32,0.86,2.82,0.1,5.45,2.38,5.59,1.51,0.9,,,,,,,,,,,,,,,,,,
July,,,,,,,3.8,3.22,5.36,2.52,3.19,1.81,1.68,1.09,1.32,2.87,5.26,5.17,0.58,0.77,0.63,2.54,5.63,1.9,2,1.62,0.81,2.89,1.06,7.04,4.1,1.37,2.15,5.02,3.29,1.33,3.5,1.94,3.81,3.95,2.78,3.83,1.22,2.49,1.43,4.65,0.2,1.09,0.98,3.08,1,2.5,1.75,5.32,1.44,0.62,1.33,2.32,1.95,1.71,2.66,0.73,2.79,0.83,1.66,4.41,4.55,0.94,3.12,0.89,4.1,2.43,4.38,1.37,4.77,1.47,5.01,3.52,0.91,4.17,6.39,,,,,,,,,,,,,,,,,,
August,,,,,,,3.09,2.05,1.15,1.25,3.56,2.39,5.46,3.13,0.92,2.6,3.35,1.55,3.61,1.43,1.92,1.24,3.42,3.73,3.16,1.54,2.84,5.84,3.74,2.72,1.67,6.83,2.14,2.24,1.08,1.95,0.71,1.44,1.65,4.69,6.11,3.97,2.81,1.9,2.4,3.51,3.35,3.24,0.84,0.24,4.21,2.28,1.34,2.43,2.7,2.08,3.27,1.87,1.44,3.45,3.49,1.44,5.08,1.87,2.05,2.68,3.79,7.24,0.85,1.81,3.18,4.88,1.61,3.83,1.64,1.93,2.59,4.93,4.14,4.03,4.03,,,,,,,,,,,,,,,,,,
September,,,,,,,6.69,3.65,2.22,1.5,1.91,4.21,0.68,3.19,2.62,0.23,2.1,1.62,3.76,3.72,1.05,3.67,5.98,2.47,1.25,2.26,3.49,2.03,2.83,0.8,4.54,7.46,1.68,3.75,3.42,1.93,2.45,5.55,0.76,1.88,1.04,4.46,2,1.23,1.83,0.2,4.9,0.98,2.66,3.88,1.76,0.82,1.47,2.84,0.58,2.56,0.18,0.34,1.64,2.33,1.12,1.68,2.75,1.94,1.14,2.02,2.5,1.04,4.77,1.21,1.93,1.37,3.49,1.7,2.78,4.95,3.6,5.18,1,0.35,3.28,,,,,,,,,,,,,,,,,,
October,,,,,,,1.28,2.06,3.36,4.98,2.72,0.75,5.86,1.93,10.58,8.47,1.21,1.24,1.56,2.03,3.43,2.73,5.98,3.22,1.8,3.81,1.43,4.02,3.01,0.62,5.43,3.32,4.62,2.33,2.99,3.95,3.61,2.12,0.86,5.54,3.02,2.18,3.03,0.65,4.89,6.51,4.2,1.12,2.24,1.65,5.9,1.69,1.8,6.55,0.6,3.92,6.18,7.31,2.86,3.74,3.23,4.78,4.65,1.64,2.44,1.71,3.13,3.27,2.59,4.27,2.01,2.46,2.66,2.01,3.97,1.74,4.46,2.23,2.98,2.57,2.11,,,,,,,,,,,,,,,,,,
November,,,,,,,1.78,2.68,2.04,2.85,5.01,5.35,0.77,2.62,3.04,4.08,3.1,0.26,3.33,2.11,2.44,2.71,4.43,2.47,4.02,4.64,3.34,1.74,9.45,2.66,4.13,3.55,6.1,1.19,2.32,1.91,4.03,3.63,6,0.57,3.9,3.65,1.43,3.31,0.52,3.05,5.78,2.57,2.24,2.02,4.76,4.48,1.53,1.44,3.35,6.17,2.19,1.85,1.09,1.17,3.98,4.18,2.16,1.54,4.26,2.52,4.26,1.94,1.06,5.71,1.14,1.88,1.45,4.69,1,3.28,3.83,3.11,3.55,3.37,4.08,,,,,,,,,,,,,,,,,,
December,,,,,,,3.82,0.25,3.64,2.75,3.78,1.81,1.84,2.28,2.76,1.36,1.94,3.18,4.54,2.99,4.48,1.6,4.86,1.34,3.44,2.89,9.8,1.3,7.13,0.6,3.31,2.44,4.43,1.21,2.19,1.49,3.94,3.46,0.89,0.88,1.99,2.44,2.21,1.67,1.43,2.35,4.1,2.52,1.26,2.14,2.19,3.69,2.88,4.37,1.77,0.44,1.88,2.71,1.09,3.07,1.92,3.63,1.34,1.78,5.05,4.72,3.27,3.04,1.96,3.81,4.08,1.41,2.99,3.52,2.69,4.64,0.7,3.49,2.05,4.48,3.54,,,,,,,,,,,,,,,,,,
Total,,,,,,,32.9,27.11,24.26,24.98,34.21,26.02,30.04,25.86,31.97,30.39,30.06,26.61,27.44,23.97,23.27,25.44,46.59,23.88,24.23,28.85,36.35,36.4,39.51,28.74,32.73,36.77,37.9,29.66,27.73,23.96,31.1,25.51,26.42,28.91,29.02,28.8,27.53,18.91,23.93,32,28.93,27.27,20.14,25.04,36.98,28.28,23.05,36.03,20.79,21.67,29.93,29.08,20.45,33.69,26.05,29.39,31.72,23.3,29.02,29,38.78,29.95,21.17,28.85,29.83,22.55,28.06,29.65,28.23,33.63,36.45,33.05,31.65,26.39,35.01,,,,,,,,,,,,,,,,,,
