"HASTINGS (HALTON RESERVOIR)",,,,,,,,,,,,
Grid ref,TQ816104,Long,0.579243,Lat,50.864585,,,,,,,
Station no,544,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.98,2.97,1.15,1.39,4.52,5.81,2.40,4.17,3.95,3.12,,
February,5.81,1.69,1.52,2.55,1.97,0.81,5.11,2.90,0.06,2.41,,
March,3.15,3.03,0.35,3.46,1.34,0.43,1.81,1.40,1.88,2.66,,
April,2.16,1.17,1.80,0.42,0.36,1.35,0.22,1.30,2.19,1.17,,
May,1.55,1.58,1.33,1.87,4.42,0.48,1.27,2.51,0.53,3.24,,
June,0.93,0.98,2.20,2.51,1.94,2.27,0.79,3.91,0.57,1.73,,
July,3.21,0.70,2.46,3.54,0.98,2.31,4.51,2.45,1.41,2.25,,
August,4.74,4.70,2.99,3.64,2.05,3.08,2.04,4.04,0.66,4.23,,
September,4.09,4.29,4.17,2.96,2.22,2.66,3.70,2.66,0.21,2.37,,
October,2.81,2.86,2.84,3.17,4.22,1.85,2.06,4.13,3.83,7.05,,
November,5.77,4.23,2.02,5.41,1.35,0.76,3.53,2.38,6.26,6.53,,
December,2.89,3.75,0.81,2.21,4.34,3.99,1.68,4.20,7.55,4.96,,
Total,41.09,31.95,23.64,33.13,29.71,25.80,29.12,36.05,29.10,41.72,,
Calc annual,41.09,31.95,23.64,33.13,29.71,25.80,29.12,36.05,29.10,41.72,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
