EAGLESHAM ( DUNWAN RES. ) NO 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS551487,Long,-4.307801,Lat,55.710015,Elevation,822,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5276/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,8.5,5.15,2.8,1.9,7.2,6.2,8.15,3.5,6.3,3.7,8.65,8.1,4,4.74,5.7,3.7,4.9,3.35,2.95,7.23,6.48,1.95,5.9
February,,,,,,,,2.85,7.8,2,3.5,1.75,7.1,2.8,10.5,4.3,0.65,6,7.5,6.1,4.55,2.6,2.62,4.52,3.2,1.7,3.45,4.7,3.45,6.5
March,,,,,,,,5.95,4.2,6.4,4.15,2.6,3.75,0.58,4.73,3.8,3.3,5.65,3.2,4.6,4.2,3.98,1.5,4.25,2.7,3.25,5.77,2,3.4,2
April,,,,,,,,1.15,3.3,3.4,2.6,2.5,4.18,4.1,2.2,2.7,8.1,4.75,6.6,4.84,4.15,3.1,2.4,2.17,3.3,1.42,3.4,2.37,4.1,4.88
May,,,,,,,,5.8,0.95,1.4,4.2,3.1,4.8,4.8,5.7,0.89,3.8,1.15,3,1.72,1.9,2,2.75,3.8,4.6,3.78,2.55,4.3,1.9,2.4
June,,,,,,,,7.2,2.7,2.2,1.3,2.25,4.7,5,5.1,3.45,3.15,7.1,0.95,2.8,2.5,4.1,1.65,4.9,2.44,4.35,3.6,3.65,4.6,3.06
July,,,,,,,,7.85,6.1,4.9,4.5,5,2.81,3.8,3.31,5.1,3.8,5.1,2.5,5.8,4.7,3,6.3,5.4,2.1,5.35,4.75,5.3,6.62,4.4
August,,,,,,,,5,2.15,4,7,6.5,7.4,6,2.09,3.5,0.03,7.7,5.1,7,6.25,5.55,3.9,5.75,1.85,5.32,6.05,4.65,1.58,3.8
September,,,,,,,,5.75,2.8,5.92,2.2,7.3,4.2,7.9,6,10.2,6.9,9.55,1.95,12.8,4.1,3.45,6.2,6.8,5.6,5.75,4,4.9,1.35,3.9
October,,,,,,,,13.35,2.9,5.1,4.5,8.8,10.5,7.2,8.8,0.62,2.9,7.91,6.45,4.5,1.37,4.9,3.7,11.8,4.1,5.41,7.1,4.52,8.1,3.5
November,,,,,,,,9.2,11.5,7.7,3.15,0.95,3.9,9.3,1.1,6.8,8.9,5.1,6.3,4.75,7.67,2.65,11.3,8.2,2.1,2.08,2.65,2.2,7,7.1
December,,,,,,,,3.3,3.4,7.1,3.7,7.5,3.72,6.5,3.4,5.8,4.1,6.8,12.3,2.1,8.2,5.2,6.3,9.25,9.25,8.09,6.3,7.3,9.1,8.9
Total,,,,,,,,75.9,52.95,52.92,42.7,55.45,63.26,66.13,56.43,53.46,49.33,75.46,63.95,61.01,54.33,46.23,52.32,71.74,44.59,49.45,56.85,52.37,53.15,56.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
