"EAGLESHAM ( DUNWAN RES. ) NO 3",,,,,,,,,,,,
Grid ref,NS551487,Long,-4.307801,Lat,55.710015,,,,,,,
Station no,5276/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.74,5.70,3.70,4.90,3.35,2.95,7.23,6.48,1.95,5.90,,
February,4.55,2.60,2.62,4.52,3.20,1.70,3.45,4.70,3.45,6.50,,
March,4.20,3.98,1.50,4.25,2.70,3.25,5.77,2.00,3.40,2.00,,
April,4.15,3.10,2.40,2.17,3.30,1.42,3.40,2.37,4.10,4.88,,
May,1.90,2.00,2.75,3.80,4.60,3.78,2.55,4.30,1.90,2.40,,
June,2.50,4.10,1.65,4.90,2.44,4.35,3.60,3.65,4.60,3.06,,
July,4.70,3.00,6.30,5.40,2.10,5.35,4.75,5.30,6.62,4.40,,
August,6.25,5.55,3.90,5.75,1.85,5.32,6.05,4.65,1.58,3.80,,
September,4.10,3.45,6.20,6.80,5.60,5.75,4.00,4.90,1.35,3.90,,
October,1.37,4.90,3.70,11.80,4.10,5.41,7.10,4.52,8.10,3.50,,
November,7.67,2.65,11.30,8.20,2.10,2.08,2.65,2.20,7.00,7.10,,
December,8.20,5.20,6.30,9.25,9.25,8.09,6.30,7.30,9.10,8.90,,
Total,54.33,46.23,52.32,71.74,44.59,49.45,56.85,52.37,53.15,56.34,,
Calc annual,54.33,46.23,52.32,71.74,44.59,49.45,56.85,52.37,53.15,56.34,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
