PERTH (ROSEBANK),,,,,,,,,,,,,,,,,,,,
Grid ref,NO 12521 23787,Long,-3.418854,Lat,56.398208,Elevation,130,ft,,,,,,,,,,,,
Station no,RR1808,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,4.44,4.47,2.09,4.27,2.61,2.4,1.05,3.85,1.56,2.11,1.82,3.91,3.1,1.09,1.86,1.56,4.46
February,,,,3.46,2.41,3.12,2.07,1.42,0.5,1.36,1.43,0.17,2.6,4.08,6.62,1.06,0.99,1.44,1.6,2.72
March,,,,1.98,3.18,3.56,3.2,2.32,4.27,1.25,2.82,1.67,0.96,1.25,2.37,2.24,1.84,4.64,0.47,2.57
April,,,,1.58,1.09,1.58,1.67,2.37,1.51,5.24,0.93,2.41,0.58,1.41,1.31,1.18,1.18,1.79,2.55,2.99
May,,,,1.04,2.09,3.1,2.77,0.65,2.3,3.28,1.65,2.67,3.26,0.66,2.73,0.95,0.51,1.53,4.49,4.46
June,,,,1.42,0.34,0.68,1.01,0.6,2.03,1.1,3.98,0.6,3.21,2.16,3.4,2.28,3.15,4.6,1.84,2.09
July,,,,4.46,6.25,0.71,3.91,1.29,5.62,2.85,4.16,3.04,1.93,2.61,3.76,4.22,3.91,1.71,1.4,3.76
August,,,,3.59,1.99,2.32,1.19,3.11,2.47,5.14,2.71,4.6,4.69,2.9,6.26,7.07,2.63,2.86,2.35,1.22
September,,,,2.44,2.56,3.92,3.21,4.31,0.55,0.68,3.13,2.63,3.24,1.26,0.22,1.1,4.64,1.75,2.48,3.35
October,,,,2.43,2.08,1.75,4.51,0.77,1.81,2.95,2.34,3.4,4.91,2.26,4.43,2.14,3.61,2.17,6.78,1.54
November,,,,3.08,2.13,2.41,1.72,4.06,6.39,1.09,5.62,3.79,2.11,0.95,1.12,4.73,1.07,2.03,5.26,3.09
December,,,,1.58,3.37,2.46,2.43,1.7,2.81,1.55,2.26,4.15,0.82,2.38,2.19,4.25,5.73,4.19,3.12,3.43
Total,,,,31.5,31.96,27.7,31.96,25.21,32.66,27.54,34.88,30.69,30.42,23.74,38.32,34.32,30.35,30.57,33.9,35.68
