DALWHINNIE DRUMOCHTER LODGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 631 796,Long,-4.248294,Lat,56.887689,Elevation,1375,ft,,,,,,,,,,,,,
Station no,5691,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,9.44,12.72,6.93,3.4,6.87,9.7,8.88,14.15,2.12,8.27,5.03,12.9,7.12,10.04,,,,,,
February,,1.64,11.44,13.2,2.76,8.52,5.79,2.56,7.6,2.61,0.74,6.29,0.24,4.52,1.9,,,,,,
March,,7.99,3.64,3.35,1.31,3.94,4.69,3.69,8.94,1.21,4.59,1.75,2.94,2.14,4.03,,,,,,
April,,1.49,3.74,3.48,3.2,6.49,2.93,4.26,3.27,1.87,2.01,3.8,4.52,2.45,7.14,,,,,,
May,,4.45,4.52,3.35,4.2,8.64,3.19,3.21,2.07,4.55,3.82,,3.7,1.61,3.1,,,,,,
June,,1.1,3.11,1.94,2.15,0.9,3.87,4.08,4.22,2.7,3.87,,0.84,2.07,1.46,,,,,,
July,3.71,3.79,3.49,3.67,6.28,2.51,3.04,4.8,2.39,3.56,3.2,5.8,6.01,3.18,4.59,,,,,,
August,4.01,4.23,2.85,7.35,5.23,3.26,3.66,4.21,7.02,4.33,7.26,3.64,0.87,2.93,4.55,,,,,,
September,2.53,2.59,2.76,6.12,9.56,3.94,3.7,4.95,6.21,2.75,4.47,1.51,4,2.95,,,,,,,
October,5.57,3.03,3.05,9.38,5.33,5.03,5.92,6.76,8.64,8.22,9.31,,8.35,5.02,,,,,,,
November,8.41,4.94,4.52,4.34,4.45,1.24,7.16,6.91,7.05,9.93,8.48,,5.75,3.67,,,,,,,
December,7.12,7.71,7.83,4.32,13.21,6.06,3.21,1.88,5.01,13.15,6.82,,9.48,0.97,,,,,,,
Total,,52.4,63.67,67.43,61.08,57.4,56.86,56.19,76.57,57,62.84,,59.6,38.63,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No of est for snow,,,,,,,,,,,,,,,,,,,,,
