DISLEY-HIGHER-STONERIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ975837,Long,-2.0390184,Lat,53.350182,Elevation,750,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2733/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.04,2.7,2.79,3.51,4.34,4.74,2,0.83,2.43,4.47,5.77,2.86,4.4,2.42,8.15,2.2,2.37,3.75,4,1.66,3.69,2.4,5.4,2.12,3.48,2.96,4.91
February,,,,0.26,4.18,2.5,6.06,1.21,2.62,1.83,3.33,1.14,2.9,1.58,3.29,5.74,,2.34,1.72,4.43,3.09,1.71,1.7,2.83,1.72,1.41,2.25,4.7,0.47,1.93
March,,,,2.85,1.47,1.77,2.07,1.28,1.94,2.53,3.03,2.04,1.09,0.59,1.47,0.98,4.57,1.34,1.83,1.66,4.86,1.88,3.14,2.4,2.37,1.29,3.38,1.56,1.49,1.11
April,,,,1.8,2.43,1.18,3.41,0.33,2.28,2.5,2.23,1.56,1.81,2.78,2.24,1.89,2.61,2.08,3.3,3.47,2.39,3.8,2.67,0.74,2.16,1.83,0.27,1.05,2.45,1.63
May,,,,2.54,0.68,0.42,1.97,3.36,1.47,1.52,1.89,4.46,2.59,5.02,4.16,1.89,2.57,1.46,3.51,0.91,1.51,2.25,2.04,3.24,3.04,1.39,1.45,2.81,0.85,1.68
June,,,,4.02,3.66,2.81,1.76,4,2.6,1.45,4.23,0.93,3.04,2.98,3.15,3.48,2.7,5.61,1.56,2.68,2.05,2.71,2.87,3.64,3.17,3.24,1.78,5.51,1.97,1.84
July,,,,2.52,1.56,4.94,4.06,4.85,7.37,4.69,2.58,4.56,1.75,3.62,2.03,5.81,3.57,3.47,1.98,2.71,4.34,4.03,6.48,6.77,0.92,5.82,5.31,4.88,3.46,5.96
August,,,,2.66,2.1,1.6,0.83,2.9,1.55,1.69,5.46,4.82,4.48,3.65,4.03,5.45,0.58,5.35,2.84,4.36,4.61,1.52,4.77,5.25,0.84,8.89,4.6,5.54,0.28,5.77
September,,,,3.56,5.78,4.3,1.37,2.57,1.13,3.55,0.68,2.77,4.54,4.13,2.14,5.3,1.98,2.62,1.08,5.15,1.96,3.87,2.67,4.35,2.01,2.44,7,3.48,0.22,3.5
October,,,,5.42,6.31,4.56,2.02,6.26,2.16,3.72,4.34,6.16,3.16,4.28,5.81,0.58,0.57,2.23,3.77,2.07,1.12,3.23,2.06,6.89,2.55,2.52,3.94,3.38,3.28,3.77
November,,,,1.41,4.74,3.74,1.6,4.71,5.51,6.92,3.09,1,2.68,5.94,0.56,5.08,4.06,2.33,4.76,4.96,8.15,2.56,2.68,6.5,1.92,1.06,1.61,1.71,3.94,4.99
December,,,0.34,4.87,3.4,3.78,2.99,4.35,2.28,3.5,2.24,3.36,1.75,2.94,2.47,3.99,3.81,3.26,5.52,2.8,4.84,3.55,1.67,5.15,3.76,4.4,4.05,3.39,5.3,3.57
Total,,,,34.95,39.01,34.39,31.65,40.16,35.65,35.9,33.93,35.23,34.26,43.28,34.21,44.59,,40.24,34.07,37.57,42.67,35.11,34.41,51.45,26.86,39.69,37.76,41.49,26.67,40.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11960 DISLEY: HIGHER STONERIDGE Start 1933 end 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record is near Higher Stonebridge. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1940 corrected for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
