"MULL, ULVA, ARGYLL",,,,,,,,,,,,
Grid ref,NM442389,Long,-6.155181,Lat,56.472552,,,,,,,
Station no,5450,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,5.08,6.31,7.02,,
February,,,,,,,,5.46,6.97,3.99,,
March,,,,,,,,5.10,6.87,1.60,,
April,,,,,,,,4.76,1.88,5.25,,
May,,,,,,,,4.16,2.91,4.51,,
June,,,,,,,1.26,3.41,4.37,1.79,,
July,,,,,,,5.87,3.59,3.99,6.54,,
August,,,,,,,4.24,9.15,6.43,4.75,,
September,,,,,,,5.31,1.98,9.64,3.65,,
October,,,,,,,7.70,5.04,2.66,8.98,,
November,,,,,,,6.13,7.97,5.39,5.47,,
December,,,,,,,9.14,6.69,8.30,6.77,,
Total,,,,,,,,62.39,65.72,60.32,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,39.65,62.39,65.72,60.32,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
