"BRAITHWAITE (BLACKWOOD)",,,,,,,,,,,,
Grid ref,NY231237,Long,-3.191925,Lat,54.602595,,,,,,,
Station no,3643/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.51,6.83,3.47,5.38,4.41,4.02,9.71,5.95,3.79,8.09,,
February,5.94,1.11,2.48,5.13,1.90,1.33,5.45,8.18,2.18,8.84,,
March,4.65,2.88,1.12,4.46,1.23,2.71,4.14,1.19,4.42,1.43,,
April,5.45,2.73,5.07,1.65,2.56,1.54,1.72,2.32,5.20,5.18,,
May,2.05,3.55,2.63,4.98,6.38,3.66,3.63,4.79,1.26,2.73,,
June,1.97,3.33,1.87,6.68,4.09,2.39,2.05,4.06,5.16,2.88,,
July,3.91,2.94,7.79,7.24,3.22,7.12,5.10,3.67,5.17,9.37,,
August,5.82,9.20,6.88,6.43,3.91,10.22,7.99,6.49,1.18,4.09,,
September,8.89,6.80,11.09,12.15,5.31,4.96,7.96,6.05,1.66,4.50,,
October,1.77,6.54,3.53,16.20,4.16,5.51,8.03,7.44,10.60,3.20,,
November,13.39,3.28,11.90,14.11,2.66,3.17,2.40,1.37,10.10,14.40,,
December,14.53,7.18,4.04,10.71,9.23,9.77,8.60,4.60,13.40,8.70,,
Total,72.88,56.37,61.87,95.12,49.06,56.40,66.78,56.11,64.12,73.41,,
Calc annual,72.88,56.37,61.87,95.12,49.06,56.40,66.78,56.11,64.12,73.41,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
