BRAITHWAITE BLACKWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY231237,Long,-3.191925,Lat,54.602595,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3643/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,8.37,11.23,4.53,8.34,10.07,10.04,9.87,1.9,1.51,5.44,10.24,9.94,5.75,9.77,7.17,10.67,5.71,5.89,4.51,6.83,3.47,5.38,4.41,4.02,9.71,5.95,3.79,8.09
February,,,6.4,0.47,11.35,3.7,8.65,3.26,9.62,1.61,6.21,2.71,6.13,2.79,7.44,6.18,0.61,4.92,6.85,8.01,5.94,1.11,2.48,5.13,1.9,1.33,5.45,8.18,2.18,8.84
March,,,4.88,4.22,1.6,3.19,3.1,4.74,5.46,7.1,3.29,3.84,1.96,0.68,4.72,3.66,5.43,6.85,2.28,4.76,4.65,2.88,1.12,4.46,1.23,2.71,4.14,1.19,4.42,1.43
April,,,2.03,5.15,5.49,0.88,3.36,0.8,3.72,3.12,2.8,4.17,3.89,3.01,3.17,2.44,12.06,3.28,9.54,6.15,5.45,2.73,5.07,1.65,2.56,1.54,1.72,2.32,5.2,5.18
May,,,3.1,6.45,1.44,1.15,2.29,4.53,1.03,1.92,4.57,5.01,5.23,3.23,7.15,1.26,3.41,1.83,3.78,2.99,2.05,3.55,2.63,4.98,6.38,3.66,3.63,4.79,1.26,2.73
June,,,3.63,3.21,5.7,4.34,2.81,10.95,4.84,1.49,0.65,1.58,4.22,7.65,4.85,5.4,3.78,10.41,1.19,3.42,1.97,3.33,1.87,6.68,4.09,2.39,2.05,4.06,5.16,2.88
July,,,4.65,2.07,2.76,7.8,3.73,9.29,8.65,7.01,1.86,5.46,3.97,2.45,5.42,6.47,4.43,3.98,2.27,4.43,3.91,2.94,7.79,7.24,3.22,7.12,5.1,3.67,5.17,9.37
August,,,3.37,7.75,3.12,2.36,3.81,3.9,2.93,3.54,8.82,6.66,9.22,6.37,3.18,9.42,0.03,7.59,3.66,9.07,5.82,9.2,6.88,6.43,3.91,10.22,7.99,6.49,1.18,4.09
September,,,1.27,7.62,10.97,7.72,6.2,4.34,2.23,7.4,2.32,9.94,7.69,8.06,5.83,11.14,6.06,8.93,2.79,14.18,8.89,6.8,11.09,12.15,5.31,4.96,7.96,6.05,1.66,4.5
October,,,6.46,10.83,11.72,7.32,4.63,19.78,2.23,7.47,7.53,8.4,11.11,6.63,8.92,0.66,1.26,6.52,10.61,6.67,1.77,6.54,3.53,16.2,4.16,5.51,8.03,7.44,10.6,3.2
November,,,2.25,1.92,6.28,8.23,1.17,13.06,10.56,8.09,4.84,2.14,4.54,9.73,0.84,13.52,13.11,5.89,11.42,7.53,13.39,3.28,11.9,14.11,2.66,3.17,2.4,1.37,10.1,14.4
December,,,0.75,10.63,4.13,11.6,3.52,5.87,3.43,7.41,4.15,11.79,4.12,7.18,5.2,8.73,4.98,9.03,14.14,3.32,14.53,7.18,4.04,10.71,9.23,9.77,8.6,4.6,13.4,8.7
Total,,,47.16,71.55,69.09,66.63,53.34,90.56,64.57,58.06,48.55,67.14,72.32,67.72,62.47,78.65,62.33,79.9,74.24,76.42,72.88,56.37,61.87,95.12,49.06,56.4,66.78,56.11,64.12,73.41
Calc annual,0,0,47.16,71.55,69.09,66.63,53.34,90.56,64.57,58.06,48.55,67.14,72.32,67.72,62.47,78.65,62.33,79.9,74.24,76.42,72.88,56.37,61.87,95.12,49.06,56.4,66.78,56.11,64.12,73.41
Difference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
