PRINCETOWN-DUCHY-HOTEL,,,,,,,,,,,,,,,,,,,,
Grid ref,SX590734,Long,-3.9912,Lat,50.5441,Elevation,1370,ft,,,,,,,,,,,,
Station no,RR2755,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,,0.3,,5.3,1.44,,,,,,,,
February,,,,,,,,,6,,3.3,2.42,,,,,,,,
March,,,,,,,,,3.3,,0.6,2.17,,,,,,,,
April,,,,,,,,,3.3,,0.7,1.93,,,,,,,,
May,,,,,,,,,3.3,,4,3.85,,,,,,,,
June,,,,,,,,,5.3,,4,2.04,,,,,,,,
July,,,,,,,,,3.6,10.5,5.9,4.33,,,,,,,,
August,,,,,,,,,5.7,4.3,3.4,3.85,,,,,,,,
September,,,,,,,,,3.9,8.2,5.8,6.74,,,,,,,,
October,,,,,,,,,6.1,5.8,4.8,5.78,,,,,,,,
November,,,,,,,,,9.3,7.7,6.7,5.78,,,,,,,,
December,,,,,,,,,5.9,7.2,0.6,6.26,,,,,,,,
Total,,,,,,,,,56,,45.1,46.59,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1838 Feb note says '4in should be added for snow' to match that 'measured at Tavistock(5.7in),,,,,,,,,,,,,,,,,,,,
1839 Jan-June not measured,,,,,,,,,,,,,,,,,,,,
