PRINCETOWN-DUCHY-HOTEL,,,,,,,,,,
Grid ref,SX590734,Long,-3.9912,Lat,50.5441,Elevation,1375,ft,,
Station no,RR2755,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,8.25,,,,,,,,,
February,11.1,,,,,,,,,
March,2.05,,,,,,,,,
April,4.35,,,,,,,,,
May,3.65,,,,,,,,,
June,2.15,,,,,,,,,
July,4.1,,,,,,,,,
August,9.55,,,,,,,,,
September,0.12,,,,,,,,,
October,9.55,,,,,,,,,
November,7.95,,,,,,,,,
December,16.05,,,,,,,,,
Total,78.87,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Cannot find any 1900 records,,,,,,,,,,
,,,,,,,,,,
1910 Not printed,,,,,,,,,,
