NEW BRIGHTON RUTLAND HOUSE,,,,,,,,,,,,
Grid ref,SJ307936,Long,-3.044584,Lat,53.434606,,,,,,,
Station no,RR6145,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.92,1.98,1.85,1.86,2.05,1.16,4.69,0.98,1.90,1.91,,
February,3.39,1.52,2.26,1.95,3.60,1.00,2.08,1.50,2.51,0.84,,
March,1.02,1.48,1.85,3.17,1.90,3.26,2.08,1.66,2.75,2.39,,
April,1.03,1.69,2.38,1.64,0.93,2.28,1.13,0.91,2.90,2.95,,
May,1.60,1.04,3.27,2.44,1.94,0.33,2.44,2.84,2.96,1.26,,
June,2.09,1.71,2.30,2.14,1.20,1.72,0.66,5.22,1.83,2.37,,
July,1.98,2.03,2.17,2.21,1.02,2.32,1.02,2.52,3.32,3.86,,
August,5.31,2.83,1.81,3.55,3.33,3.08,3.12,3.31,3.18,2.54,,
September,1.32,0.79,1.00,4.86,2.11,1.88,1.63,0.67,4.70,3.29,,
October,3.65,3.84,2.79,7.42,1.73,2.76,5.29,4.12,2.12,4.71,,
November,3.11,2.48,1.73,2.98,1.64,3.24,1.54,2.53,2.00,1.17,,
December,2.58,3.27,2.25,1.86,2.52,0.46,2.98,2.14,1.72,5.95,,
Total,31.00,24.66,25.66,36.08,23.97,23.49,28.66,28.40,31.89,33.24,,
Calc annual,31.00,24.66,25.66,36.08,23.97,23.49,28.66,28.40,31.89,33.24,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
