NEW-BRIGHTON-STANLEY-ROCK,,,,,,,,,,
Grid ref,SJ306936,Long,-3.0460893,Lat,53.434593,Elevation,130,ft.,,
Station no,RR6144,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,2.94,1.18,2.87,1.07,1.6,3.11,,,,
February,0.64,0.08,1.56,2.76,2.96,0.25,,,,
March,1.58,0.96,1.12,0.41,1.46,2.65,,,,
April,0.9,1.7,1.32,0.33,1.56,1.63,,,,
May,1.78,1.73,2.72,1.27,1.9,0.43,,,,
June,2.27,3.93,2.97,1.43,1.85,0.64,,,,
July,2.26,2.57,2.07,3.52,2.94,4.36,,,,
August,3.85,4.99,3.41,2.33,3.02,2.41,,,,
September,1.45,3.73,3,3.99,0.73,1,,,,
October,1.87,2.4,6.22,2.81,3.57,4.79,,,,
November,5.23,3.56,1.98,1.24,2.28,2.46,,,,
December,0.74,4.1,1.81,3.15,2.27,2.33,,,,
Total,25.51,30.93,31.05,24.31,26.14,26.06,,,,
,,,,,,,,,,
NGR is Stanley Rock. Altitudes match.,,,,,,,,,,
"Gauge moved beginning of 1896 to Rutland House, about 150m SE",,,,,,,,,,
