"HAMILTON, SCOTT STREET",,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 71863 54520,Long,-4.043926,Lat,55.766999,Elevation,260,ft,,,,,,,,,,,,,
Station no,5200,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,6.38,10.7,0.94,5.94,3.05,7.17,4.32,,,,,,,
February,,,,,,,,1.87,4.14,1.67,0.21,3.26,0,2.59,,,,,,,
March,,,,,,,,2.87,2.14,0.51,2.07,1.01,1.94,2.32,,,,,,,
April,,,,,,,,2.44,1.12,1.49,1.17,1.7,3.4,1.35,,,,,,,
May,,,,,,,,1.76,1.81,2.44,1.96,3.2,2.31,2.06,,,,,,,
June,,,,,,,,3.35,4.25,2.08,2.52,5,1.04,2.01,,,,,,,
July,,,,,,,,2.81,2.18,2.83,3.19,3.45,2.85,3.77,,,,,,,
August,,,,,,,,6.63,3.4,4.86,4.95,2.32,0.89,2.56,,,,,,,
September,,,,,,,,6.7,3.13,1.21,3.33,1.18,4.28,0.99,,,,,,,
October,,,,,,,,4.49,5.76,4.62,4.78,3.75,4.94,3.07,,,,,,,
November,,,,,,,,4.14,3.86,6.95,5.22,6.29,3.38,1.27,,,,,,,
December,,,,,,,,0.63,4.65,8.24,2.64,3.94,9.13,0.6,,,,,,,
Total,,,,,,,,44.07,47.14,37.84,37.98,38.15,41.33,26.91,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Location no 43,,,,,,,,,,,,,,,,,,,,,
Valuation Rolls,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5200,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
