HAMILTON (WELLHALL ROAD),,,,,,,,,,,,,,,,,,,,
Grid ref,NS 71038 55591,Long,-4.057582,Lat,55.776398,Elevation,234,ft,,,,,,,,,,,,
Station no,5200,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,5.24,1.79,4.35,3.68,6.48,3.74,2.4,0.66,5.21,4.12,3.85,2.6,,,,,
February,,,,0.48,3.6,1.89,3.65,1.43,4.82,1.11,3.03,1.4,3.75,1.55,5.62,,,,,
March,,,,2.39,2.28,2.2,0.99,3.02,3.82,3.5,2.61,1.54,2.57,,2.3,,,,,
April,,,,2.91,2.82,1.08,1.52,0.31,1.47,2.35,1.13,1.48,1.95,,1.63,,,,,
May,,,,2.21,0.65,1.1,1.32,3.4,0.84,0.81,4.52,2.3,3.47,,3.8,,,,,
June,,,,2.62,3.93,1.52,2.02,3.38,2.18,0.76,0.62,1.22,2.9,,3.4,,,,,
July,,,,1.69,1.05,4.74,2.68,3.17,2.79,4.61,2.76,2.45,2.28,3.95,2.58,,,,,
August,,,,3.55,1.83,1.81,3.53,2.63,2.15,1.52,3.97,3.25,4.86,4.07,1.55,,,,,
September,,,,3.56,4.51,3.8,2.32,2.93,1.25,3.87,1,4.52,2.07,5.09,4.79,,,,,
October,,,,5.67,7.81,3.82,3.58,8.94,1.85,3.15,2.9,4.43,6.61,4.15,5.27,,,,,
November,,,,0.76,5.08,3.58,0.74,6.61,7.16,4.63,2.05,0.56,2.15,7.15,0.36,,,,,
December,,,,3.54,1.63,5.16,2.01,2.3,2.09,4.06,2.18,3.97,1.61,4.06,2.45,,,,,
Total,,,,34.62,36.98,35.05,28.04,44.6,34.16,32.77,27.43,32.33,38.34,,36.35,,,,,
,,,,,,,,,,,,,,,,,,,,
Deleted [4-5 months : 1944/03-1944/06],,,,,,,,,,,,,,,,,,,,
Location on No 19,,,,,,,,,,,,,,,,,,,,
Valuation Rolls,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5200,,,,,,,,,,,,,,,,,,,
Midas,13591,,,,,,,,,,,,,,,,,,,
Hyd Stn,656473,,,,,,,,,,,,,,,,,,,
