DERBY-WEST-HALLAM,,,,,,,,,,,,,,,,,,,,
Grid ref,SK432411,Long,-1.3582593,Lat,52.96553,Elevation,357,ft.,,,,,,,,,,,,
Station no,RR4008,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,2.27,1.19,2.71,1.56,2.71,1.39,0.71,3.43,2.08,1.71,2.92,,,,
February,,,,,,1.95,2.36,1.94,2.46,2.18,1.6,1.37,2.8,0.76,1.66,1.07,,,,
March,,,,,,0.98,1.95,1.96,2.11,1.97,1.84,1.21,1.76,2.05,1.1,0.64,,,,
April,,,,,,1.44,1.05,2.99,1.82,1.71,0.99,3.95,2.24,0.85,1.33,0.63,,,,
May,,,,,,3.21,1.74,1.96,1.87,4.24,0.68,2.03,1.82,2.92,1.18,1.83,,,,
June,,,,,,1.83,4.06,2.08,0.49,1.26,1.39,5.49,4.73,2.34,0.75,2.64,,,,
July,,,,,,3.48,3.22,2.24,0.31,0.7,2.32,3.72,4.04,2.64,1.13,5.43,,,,
August,,,,,,5.58,4.91,4.11,3.8,1.59,1.21,1.16,2.9,3.42,2.56,2.97,,,,
September,,,,,,0.19,4.56,2.76,2.05,5.33,0.94,5.21,3.34,1.58,2.69,3.49,,,,
October,,,,,,5.46,2.92,3.32,2.99,1.42,4.43,2.4,4.1,2.13,1.55,4.65,,,,
November,,,,,,1.88,3.11,1.13,1.17,1.98,2.02,1.23,2.88,2.12,2.66,3.24,,,,
December,,,,,,0.8,2.02,1.5,7.25,3.83,2.24,1.26,3.15,0.28,1.64,1.17,,,,
Total,,,,,,29.07,33.09,28.7,27.88,28.92,21.05,29.74,37.19,23.17,19.96,30.68,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is the rectory in West Hallam, the observer was the Rev Charle J Newdigate. State altitude is about 40 ft too high",,,,,,,,,,,,,,,,,,,,
