TUXFORD-GRAMMAR-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK737709,Long,-0.89740354,Lat,53.230036,Elevation,220,ft,,,,,,,,,,,,
Station no,RR7237,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,0.72,2.69,1.7,1.75,0.18,0.7,2.6,2.18,2.77,1.84,2.8,2.17,0.86,
February,,,,,,,1.54,2.27,1.39,2.44,1.8,4.32,0.74,3.02,1.63,2.62,0.27,0.65,0.82,
March,,,,,,,2.44,2.5,0.53,0.68,1.13,2.4,1.79,0.84,1.55,0.94,3.35,1.42,2.46,
April,,,,,,,1.77,3.72,1.77,2.5,2.22,0.8,3.04,2.58,1.4,1.94,1.8,1.11,1.32,
May,,,,,,,1.38,2.25,4.65,4.63,1.56,2.15,2.68,1.41,0.47,1.49,5.96,1.37,0.96,
June,,,,,,,2.53,1.3,2.13,4.43,3.81,1.82,2.68,3.54,0.73,3.22,0.53,0.36,1.26,
July,,,,,,,1.03,3.42,0.98,3.82,5.77,1.48,2.52,4.83,3.66,0.29,2.6,1.67,4.81,
August,,,,,,,1.31,4.71,7,2.79,1.45,5.51,2.5,1.92,1.85,2.6,1.43,0.5,2.2,
September,,,,,,,3.82,3.1,2.15,2.69,4.75,1.7,2.12,5.3,1.31,2.64,0.97,2.35,1.28,
October,,,,,,,1.74,1.38,2.74,0.73,6.23,2.61,5.48,2.99,0.64,5.03,4.42,1.22,0.38,
November,,,,,,,2.27,1.63,3.16,1.49,2.6,2.03,3.19,2.51,1.06,2.34,1.67,3.19,3.26,
December,,,,,,,6.26,1.04,1.53,0.84,2.32,2.57,4.84,1.01,1.34,0.77,3.51,0.74,1.83,
Total,,,,,,,26.81,30.01,29.73,28.79,33.82,28.09,34.18,32.13,18.41,25.72,29.31,16.75,21.44,
