GLOUCESTER-WOTTON-HILL,,,,,,,,,,
Grid ref,SO843186,Long,-2.229412,Lat,51.865755,Elevation,80,ft,,
Station no,RR8759,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,2.44,2.16,0.92,1.52,1.72,,,,,
February,0.52,0.01,1.21,2.59,1.86,,,,,
March,0.67,1.61,0.8,0.14,1.36,,,,,
April,0.89,1.24,1.04,0.01,,,,,,
May,1.74,2.98,1.83,1.34,,,,,,
June,2.35,1.53,1.96,1.92,,,,,,
July,3.45,2.24,1.84,2.53,,,,,,
August,2.56,5.33,2.59,2.36,,,,,,
September,0.95,1.29,2.55,0.88,,,,,,
October,1.17,6.77,1.52,1.89,3.6,,,,,
November,1.58,1.93,1.96,1.42,4.38,,,,,
December,0.64,3.48,0.65,2.63,2.08,,,,,
Total,18.96,30.57,18.87,19.23,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1894 Apr-Sep gauge moved to Burleigh Brimstone,,,,,,,,,,
