GLOUCESTER-WOTTON-HILL (BURLEIGH-BRIMSTONE),,,,,,,,,,
Grid ref,SO864014,Long,-2.1982345,Lat,51.711166,Elevation,640,ft,,
Station no,RR8759,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,3.65,,,,,
May,,,,,1.94,,,,,
June,,,,,1.88,,,,,
July,,,,,2.61,,,,,
August,,,,,3.09,,,,,
September,,,,,3.29,,,,,
October,,,,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1894 Apr-Sep temporary move.,,,,,,,,,,
