HATSTON AIRPORT,,,,,,,,,,
Grid ref,HY4437611088,Long,-2.96943,Lat,58.9833,Elevation,35,ft,,
Station no,5823/1,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.66,4.93,8.44,5.73
February,,,,,,,2.65,3.2,4.33,
March,,,,,,,2.25,3.69,4.71,
April,,,,,,,3.52,2.21,3.33,
May,,,,,,,0.73,1.96,2.13,
June,,,,,,,1.62,1.92,1.36,
July,,,,,,,1.28,1.99,1.38,
August,,,,,,,0.07,3.91,2.5,
September,,,,,,,5.62,4.35,2.78,
October,,,,,,,1.89,6.14,3.08,
November,,,,,,,5.76,3.13,4.69,
December,,,,,,,5.04,5.26,6.31,
Total,,,,,,,34.09,42.69,45.04,
,,,,,,,,,,
1949 NP too Big,,,,,,,,,,
1950 Moved to Grimsetter Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5823/1,,,,,,,,,
Midas,23778,,,,,,,,,
Hyd Stn,,,,,,,,,,
