TYNEMOUTH PERCY PARK I,,,,,,,,,,,,
Grid ref,NZ365696,Long,-1.430676,Lat,55.019611,,,,,,,
Station no,RR7488,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.10,0.80,,
February,,,,,,,,,0.78,1.37,,
March,,,,,,,,,2.34,5.15,,
April,,,,,,,,,1.50,2.88,,
May,,,,,,,,,,2.06,,
June,,,,,,,,,,2.18,,
July,,,,,,,,,2.90,2.62,,
August,,,,,,,,,1.09,3.32,,
September,,,,,,,,,2.09,1.83,,
October,,,,,,,,,1.34,2.92,,
November,,,,,,,,,1.37,0.81,,
December,,,,,,,,,2.15,3.86,,
Total,,,,,,,,,,29.80,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.66,29.80,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
