"TYNEMOUTH PERCY PARK 6"" gauge",,,,,,,,,,
Grid ref,NZ366697,Long,-1.4290994,Lat,55.020502,Elevation,91,ft,,
Station no,RR7488,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.5,2.29,4.29,,,,,,
February,2.29,0.81,2.21,0.49,,,,,,
March,0.62,1.73,1.78,2.35,,,,,,
April,1.92,1.43,0.11,2.62,,,,,,
May,3.13,0.9,2.47,3.21,,,,,,
June,1.22,4.98,4.27,1.09,,,,,,
July,1.85,0.67,4.16,0.54,,,,,,
August,2.34,2.7,4.4,0.72,,,,,,
September,0.8,2.34,1.95,3.95,,,,,,
October,3.27,2.12,3.66,2.02,,,,,,
November,2.73,3.24,1.66,1.55,,,,,,
December,1.8,2.68,1.25,1.18,,,,,,
Total,,25.1,30.21,24.01,,,,,,
