TYNEMOUTH PERCY PARK I,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ366697,Long,-1.4290994,Lat,55.020502,Elevation,96,ft,,,,,,,,,,,,
Station no,RR7488,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.1,0.8,2.71,1.36,2.21,4.31,,,,,,
February,,,,,,,,,0.78,1.37,2.36,0.78,2.24,0.52,,,,,,
March,,,,,,,,,2.34,5.15,0.67,1.78,1.83,2.29,,,,,,
April,,,,,,,,,1.5,2.88,1.97,1.41,0.11,2.56,,,,,,
May,,,,,,,,,,2.06,3.16,0.94,2.5,3.23,,,,,,
June,,,,,,,,,,2.18,1.3,4.95,4.3,1.1,,,,,,
July,,,,,,,,,2.9,2.62,1.94,0.71,4.08,0.54,,,,,,
August,,,,,,,,,1.09,3.32,2.48,2.82,4.35,0.75,,,,,,
September,,,,,,,,,2.09,1.83,0.81,2.38,1.97,3.81,,,,,,
October,,,,,,,,,1.34,2.92,3.41,2.15,3.56,1.94,,,,,,
November,,,,,,,,,1.37,0.81,2.94,3.24,1.73,1.48,,,,,,
December,,,,,,,,,2.15,3.86,1.85,2.69,1.3,1.09,,,,,,
Total,,,,,,,,,,29.8,25.6,25.21,30.18,23.62,,,,,,
