WOKING-YORK-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,SU997578,Long,-0.57005,Lat,51.31068,Elevation,120,ft,,,,,,,,,,,,
Station no,219/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.84,4.74,4.94,2.53,4.38,2.9,2.46,2.79,4.94,1.68,1.93,1.92,1.67,4.14,,
February,,,,,2.67,1.66,3.83,0.47,1.2,2.05,2.27,0.75,1.5,0.67,1.57,2.37,1.28,1.17,,
March,,,,,0.22,1.56,3.56,0.14,0.94,3.26,3.49,1.57,0.44,0.2,0.62,1.29,4.82,0.67,,
April,,,,,3.25,1.67,2.21,0.06,2.32,1.76,1.29,1.34,1.2,1.04,1.14,1.5,1.7,1.5,,
May,,,,,1.22,0.69,2.07,1.37,1.36,1.03,1.82,3.16,2.63,0.79,1.39,3.33,1.27,2.03,,
June,,,,,2.78,2.88,2.08,0.55,1.35,0.82,2.29,2.37,1.55,2.19,2.27,2.35,2.52,2.84,,
July,,,,,1.44,3.75,0.98,1.14,2.21,2.35,3.89,1.48,2.22,1.67,4.56,2.22,2.58,0.85,,
August,,,,,3.56,1.24,1.2,2.14,2.03,0.08,5.23,2.88,1.62,2.26,1.18,4.15,0.5,2.6,,
September,,,,,3.63,2.54,1.85,1.48,0.71,1.33,0.26,1.06,1.97,1.94,2.16,3.22,0.97,1.39,,
October,,,,,3.38,2.27,3.01,2.51,5.1,3.17,1.31,3.62,2.6,3.59,3.15,0.87,0.28,1.83,,
November,,,,,5.19,3.04,1.56,3.72,4.77,6.78,3.26,2,1.29,3.87,0.21,4.53,0.95,1.78,,
December,,,,,2.77,2.22,4.12,3.15,0.94,1.45,1.61,3.33,1.43,2,3.47,2.62,2.9,3.25,,
Total,,,,,30.95,28.26,31.41,19.26,27.31,26.98,29.18,26.35,23.39,21.9,23.65,30.37,21.44,24.05,,
,,,,,,,,,,,,,,,,,,,,
155 York Rd,,,,,,,,,,,,,,,,,,,,
1948 Station terminated Observer moved,,,,,,,,,,,,,,,,,,,,
