"DRIFFIELD YORK ROAD",,,,,,,,,,,,
Grid ref,TA020581,Long,-0.445072,Lat,54.008853,,,,,,,
Station no,RR1577,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.26,1.28,0.97,1.83,2.12,0.59,2.96,0.83,1.40,0.79,,
February,3.71,2.38,1.27,1.06,2.59,0.99,2.00,1.62,1.67,1.54,,
March,0.70,2.01,1.37,2.73,1.27,2.44,2.00,1.30,2.75,4.01,,
April,1.22,1.64,1.00,2.14,1.16,2.25,1.07,1.69,2.86,2.31,,
May,1.22,0.79,2.05,2.95,2.09,0.83,2.19,3.36,2.16,1.70,,
June,1.99,2.16,1.83,1.79,0.39,1.86,1.03,2.88,0.90,3.96,,
July,1.22,0.96,2.45,3.31,2.35,1.29,2.41,0.84,2.51,3.00,,
August,6.50,3.85,2.10,2.36,3.72,3.50,2.76,2.19,1.90,4.69,,
September,0.96,0.91,0.63,3.18,1.21,1.82,0.93,0.74,1.90,1.52,,
October,3.25,1.57,2.58,6.14,0.53,2.27,4.58,5.11,1.26,3.16,,
November,2.80,3.70,1.38,1.28,2.19,4.04,3.84,2.46,1.37,0.95,,
December,3.57,4.54,2.21,1.21,2.06,0.28,1.94,3.80,2.11,4.88,,
Total,30.40,25.79,19.84,29.98,21.68,22.16,27.71,26.82,22.79,32.51,,
Calc annual,30.40,25.79,19.84,29.98,21.68,22.16,27.71,26.82,22.79,32.51,,
Difference,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
