TARBERT CARSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR747619,Long,-5.596023,Lat,55.797707,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,3.03,3.46,2.28,4.57,4.49,3.05,2.43,4.43,5.04,3.92,3.83,4.27,2.63,3.83,5.31,3.87,4.99,3.99,4.79,4.01,3.59,6.48,7.42,8.49,,
February,,,,,,3.19,2.92,2.69,3.11,2.35,5.77,5.24,3.29,2.43,5.08,4.14,4.02,1.3,4.88,1.28,4.19,1.43,5.36,5.39,1.35,3.58,4.85,2.75,4.22,,
March,,,,,1.75,3.62,2.71,2.71,4.67,2.38,1.69,1.64,4.66,4.15,4.07,3.28,1.22,2.47,1.42,3.95,2.58,4.66,1.07,1.55,0.97,2.56,3.21,4.28,3.77,,
April,,,,,4.16,2.45,2.19,2.85,1.9,3.06,4.39,3.01,1.48,4.07,2.03,3.02,3.55,2.09,1.45,2.93,2.42,1.2,3.56,2.42,4.18,4.49,2.19,3.35,2.17,,
May,,,,,2.77,2.25,4.47,3.08,2.76,2.5,2.71,3.16,1.75,3.06,1.85,0.9,4.02,4.19,4.32,1.36,4.58,3.43,3.82,3,4.39,5.47,2.37,3.37,1.68,,
June,,,,,1.01,0.94,1.31,5.16,2.7,2.14,0.94,1.68,4.4,2.77,1.65,2.11,1.23,2.59,1.88,3.23,1.58,1.02,3.8,2.75,4.51,1.5,2.36,3.55,4.39,,
July,,,,,2.48,2.76,3.19,3.49,3.8,5.34,3.26,4.93,2.63,1.87,1.86,3.1,2.08,1.61,4.52,1.65,3.06,3.74,3.18,5.47,5.03,3.15,3.61,2.94,2.58,,
August,,,,,5.04,6.95,4.46,4.88,4.03,3.59,5.52,2.68,4.46,1.9,4.5,2.13,3.31,3.28,4.09,3.56,4.47,4.41,4.17,5.43,5,3.14,3.87,2.85,3.7,,
September,,,,,4.12,3.74,2.69,1.95,5.64,2.44,1.96,2.64,2.85,2.38,2.14,1.25,1.59,2.79,5.95,3.38,4.02,1.91,2.65,6.73,5.53,4.38,3.92,6.03,4.02,,
October,,,,,3.38,4.03,6.45,6.47,1.25,6.42,2.16,2.67,5.16,3.43,2.09,1.91,6.58,8.48,6.83,1.59,4.69,5.38,2.51,6.61,3.73,4.4,7.24,4.27,6.2,,
November,,,,,4.39,4.55,3.85,4.88,3.59,2.93,5.67,4.39,4.5,4.68,5.09,2.17,5.02,7.46,4.94,3.35,6,3.2,3.5,4.37,3.48,2.39,6.05,5.1,6.73,,
December,,,,,3.33,2.43,4.55,4.67,6.29,6.05,4.85,6.39,5.61,4.71,5.2,5.98,4.79,2.94,8.16,7.57,3.49,6.11,3.39,6.77,5.29,3.83,3.01,1.52,5.42,,
Total,,,,,,39.94,42.25,45.11,44.31,43.69,41.97,40.86,45.22,40.49,39.48,33.82,41.68,41.83,52.27,39.16,44.95,41.48,41,55.28,47.47,42.48,49.16,47.43,53.37,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
