"LOCH NESS (GARTHBEG)",,,,,,,,,,,,
Grid ref,NH518169,Long,-4.455888,Lat,57.218792,,,,,,,
Station no,5704,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.78,2.79,4.47,10.76,6.67,6.77,13.33,3.01,4.58,3.67,,
February,1.69,2.73,1.01,15.02,3.67,7.20,5.17,4.20,3.18,1.49,,
March,1.07,3.49,3.54,14.30,1.54,6.56,7.54,3.24,5.38,1.11,,
April,3.35,2.39,1.90,2.23,8.15,1.56,3.84,1.50,1.71,2.03,,
May,2.49,1.03,3.73,3.57,4.37,3.21,5.94,2.12,1.80,2.76,,
June,2.53,3.71,2.37,2.21,2.02,1.32,1.07,3.93,2.33,0.86,,
July,4.80,3.49,2.19,5.93,0.97,2.24,3.33,1.69,2.00,3.63,,
August,3.90,3.30,3.01,5.19,3.90,3.70,4.25,3.51,3.82,2.43,,
September,4.01,1.58,2.58,4.38,1.89,2.68,2.70,1.19,5.64,2.23,,
October,4.02,2.95,4.17,8.45,2.41,3.32,9.13,3.07,1.36,7.49,,
November,4.58,2.43,1.05,5.63,3.04,6.90,5.00,4.06,3.39,2.42,,
December,12.56,5.25,9.85,2.26,7.08,7.54,4.37,4.32,4.26,3.25,,
Total,50.78,35.14,39.87,79.93,45.71,53.00,65.67,35.84,39.45,33.37,,
Calc annual,50.78,35.14,39.87,79.93,45.71,53.00,65.67,35.84,39.45,33.37,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
