LOCH NESS (GARTHBEG),,,,,,,,,,
Grid ref,NH512182,Long,-4.466593,Lat,57.230264,Elevation,630,ft,,
Station no,5704/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.2,3.22,4.64
February,,,,,,,,2.21,1.65,4.31
March,,,,,,,3.81,2.12,1.51,0.68
April,,,,,,,1.08,2.35,2.92,2.45
May,,,,,,,1.18,3.63,1.89,0.69
June,,,,,,,1.87,1.5,2.74,2.19
July,,,,,,,5.47,3.48,2.99,2.45
August,,,,,,,6.21,4.08,2.69,6.02
September,,,,,,,2.59,3.04,0.65,2.33
October,,,,,,,4.22,4.74,4.46,1.99
November,,,,,,,2.22,1.19,5.17,2.38
December,,,,,,,5.52,3.85,4.4,4.66
Total,,,,,,,,35.39,34.29,34.79
