WASHBURN DALE RAY BANK,,,,,,,,,,,,
Grid ref,SE120611,Long,-1.818228,Lat,54.045731,,,,,,,
Station no,RR8062,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.27,2.13,2.18,3.57,3.85,1.41,,,,,,
February,5.72,1.22,1.28,5.61,4.48,1.57,,,,,,
March,0.64,2.65,1.57,5.31,1.85,3.67,,,,,,
April,2.51,2.40,1.57,1.88,3.84,2.41,,,,,,
May,2.29,1.19,2.64,3.22,3.85,0.53,,,,,,
June,3.31,1.39,1.58,1.68,2.07,1.95,,,,,,
July,3.36,2.01,2.33,4.64,1.63,,,,,,,
August,6.25,2.06,2.61,5.01,4.34,,,,,,,
September,1.63,1.13,1.80,6.17,1.43,,,,,,,
October,5.02,2.21,3.59,10.76,1.38,,,,,,,
November,5.32,5.73,2.51,2.89,3.33,,,,,,,
December,4.54,3.72,2.92,3.02,2.58,,,,,,,
Total,45.86,27.84,26.58,53.76,34.63,,,,,,,
Calc annual,45.86,27.84,26.58,53.76,34.63,11.54,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
