RATTRAY MILTON PLACE,,,,,,,,,,,,
Grid ref,NO184455,Long,-3.330445,Lat,56.594279,,,,,,,
Station no,RR8810,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.57,2.72,,
February,,,,,,,,,2.67,0.60,,
March,,,,,,,,,,3.45,,
April,,,,,,,,,,2.95,,
May,,,,,,,,,2.05,2.25,,
June,,,,,,,,,2.81,1.50,,
July,,,,,,,,2.70,1.50,3.82,,
August,,,,,,,,3.60,2.90,1.40,,
September,,,,,,,,0.85,4.84,1.36,,
October,,,,,,,,4.45,3.60,4.35,,
November,,,,,,,,2.25,2.30,0.55,,
December,,,,,,,,4.72,1.53,2.50,,
Total,,,,,,,,,33.14,27.45,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.57,26.77,27.45,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.37,0.00,,
