RATTRAY MILTON PLACE,,,,,,,,,,,,,,,,,,,,
Grid ref,NO184455,Long,-3.330445,Lat,56.594279,Elevation,194,ft,,,,,,,,,,,,
Station no,RR8810,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,2.57,2.72,3.25,0.75,4.46,,,,,,,
February,,,,,,,,,2.67,0.6,2.6,1.73,3.03,,,,,,,
March,,,,,,,,,,3.45,1.7,0.96,2.4,,,,,,,
April,,,,,,,,,,2.95,2.2,1.2,0.2,,,,,,,
May,,,,,,,,,2.05,2.25,1.04,1.3,1.6,,,,,,,
June,,,,,,,,,2.81,1.5,1.4,1.1,3.5,,,,,,,
July,,,,,,,,2.7,1.5,3.82,3.3,1.74,2.28,,,,,,,
August,,,,,,,,3.6,2.9,1.4,7.76,1.36,3.83,,,,,,,
September,,,,,,,,0.85,4.84,1.36,0.9,0.99,2.15,,,,,,,
October,,,,,,,,4.45,3.6,4.35,2.16,1.92,3.74,,,,,,,
November,,,,,,,,2.25,2.3,0.55,3.32,3.53,2.05,,,,,,,
December,,,,,,,,4.72,1.53,2.5,3.27,5.4,,,,,,,,
Total,,,,,,,,,,27.45,32.9,21.98,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BR 1908 P Mar Apr Deleted,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8810,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
