KNUTSFORD-HEATHSIDE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ745790,Long,-2.3841447,Lat,53.307323,Elevation,210,ft.,,,,,,,,,,,,
Station no,RR4216,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,3.44,3.71,1.77,5.04,2.33,1.58,1.19,3.2,2.02,3.89,1.24,,,,,,
February,,,,2.15,1.8,2.06,0.85,0.67,1.14,1.99,0.64,0.24,1.98,2.9,,,,,,
March,,,,1.17,2.34,1.75,2.06,1.75,1.94,3.3,2.52,1.8,1.14,0.5,,,,,,
April,,,,1.57,0.97,1.77,1.89,1.15,1.47,2.57,1.02,2.16,1.2,0.58,,,,,,
May,,,1.24,1.15,1.62,2.12,6.17,1.82,0.64,2.66,2.18,3.16,2.92,1.96,,,,,,
June,,,5.81,2.98,1.13,3.22,1.63,1.06,2.19,0.66,3.13,2.24,3.81,1.62,,,,,,
July,,,5.17,2.53,3.47,1.49,3.21,0.92,4.92,4.39,2.33,2.32,3.54,2.59,,,,,,
August,,,3.38,2.32,1.53,1.92,1.64,1.18,3.54,5.64,3.85,5.54,3.52,2.96,,,,,,
September,,,2.01,4.65,2.92,4.07,3.96,3.65,1.26,3.36,0.98,3.2,2.81,2.64,,,,,,
October,,,3.43,4.76,1.74,5.7,4.96,2.35,1.2,2.9,2.36,4.51,4.39,2.63,,,,,,
November,,,5.84,3.59,2.33,2.88,2.3,1.29,4.45,2.35,6.04,2.43,2.51,1.65,,,,,,
December,,,4.81,2.24,2.94,2.07,4.9,2.55,2.03,2.47,0.61,4.44,2.29,3.41,,,,,,
Total,,,,32.55,26.5,30.82,38.61,20.72,26.36,33.48,28.86,34.06,34,24.68,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Heathside. Altitudes match.,,,,,,,,,,,,,,,,,,,,
