LOWESTOFT-SOMERLEYTON-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM488974,Long,1.6657029,Lat,52.517638,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.89,1.67,1.49,1.26,1,4.34,1.65,0.97,1.87,,,,,0.21,1.59,1.68,1.85,1.46,1.94,2.12,1.43,1.34,0.72,1.87,1.83,0.88,2.1,1.21,2.48,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1,1.12,2.59,0.86,1.93,0.96,1.64,1.06,1.12,,,,,1.84,2.75,1.84,2.31,1.02,2.32,0.53,0.6,2.09,1.45,0.83,0.12,1.54,2.33,1.16,0.69,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.38,2.64,3.63,1.63,1.13,2.73,1.75,0.95,0.53,,,,,0.68,1.73,1.25,1.64,1.3,0.84,1.31,1.57,2.85,1.24,2.27,1.55,2.05,0.3,0.58,1.5,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.38,1.98,0.63,0.59,3.47,2.45,0.9,0.84,0.69,,,,,1.76,1.12,3.02,1.87,1.17,1.67,1.2,1.02,1.35,2.25,1.23,0.92,2,0.05,2.68,0.71,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,3.37,0.74,1.96,0.61,0.88,2.6,1.77,1.69,1.7,,,,,0.62,1.07,1.7,1.53,1.23,3.19,2.17,2.39,1.02,2.99,1.23,2.7,1.35,1.23,2.69,0.6,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,0.96,0.88,1.83,1.05,2.52,2.35,1,2.39,2.16,,,,,2.91,1.95,2.72,2.28,0.79,0.63,0.56,0.13,0.71,2.2,2.26,1.23,2.83,0.95,2.25,0.46,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,3.43,0.43,1.26,2.04,2.66,3.36,1.95,1.1,3.95,,,,,4.23,1.21,2.74,2.97,2.32,0.73,3.85,1.47,5.1,1.95,4.7,3.28,2.06,1.93,3.02,3.07,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,1.07,1.92,2.07,2.33,0.62,2.2,1.53,1.76,1,,,,,2.53,3.89,1.83,1.1,1.43,1.51,1.6,1.81,1.96,2.97,1.6,4.48,4.09,1.26,1.85,2.91,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,1.26,1.38,2.37,1.67,3.8,1.9,2.35,3.48,2.38,,,,,2.69,2.76,2.43,1.88,4.51,5.2,1.4,2.53,1.68,3.86,1.1,0.93,1.9,0.71,1.8,0.49,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,2.47,2.03,3.23,3.28,1.67,3.13,2.48,1.39,3.49,,,,,3.79,3.62,5.05,2.84,3.98,6.29,2.64,2.96,1.69,4.33,1.84,3.97,8.1,1.53,2.47,4.16,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
